,ms,latitude,longitude,altitude,confInterval,heading,speed
0,-972.0,55.6094375,12.9941005,22,18.0,,
1,-2.0,55.6094582,12.9940867,29,12.0,,
2,967.0,55.6094781,12.9940504,35,10.0,,
3,1966.0,55.6094979,12.9940084,42,8.0,,
4,2970.0,55.6095152,12.9939706,44,7.0,,
5,3979.0,55.6095328,12.9939419,48,7.0,,
6,4985.0,55.6095488,12.9939211,51,6.0,,
7,5981.0,55.6095608,12.993902,53,6.0,,
8,6985.0,55.6095693,12.9938834,54,5.0,,
9,7991.0,55.6095767,12.9938752,55,5.0,,
10,8985.0,55.6095789,12.9938684,55,4.0,,
11,10003.0,55.6095806,12.9938703,55,4.0,87.0,0.5799999833106995
12,10993.0,55.6095802,12.9938702,55,4.0,75.0,0.3400000035762787
13,11989.0,55.609581,12.9938662,56,3.9000000953674316,53.0,0.5699999928474426
14,12980.0,55.6095851,12.9938598,56,3.9000000953674316,5.0,0.8899999856948853
15,13999.0,55.6095914,12.9938503,54,3.9000000953674316,5.0,0.9900000095367432
16,14997.0,55.6095987,12.9938362,53,4.0,5.0,1.1100000143051147
17,15982.0,55.6096022,12.9938194,52,4.0,5.0,0.8100000023841858
18,16983.0,55.6095978,12.9938016,51,4.0,,
19,17989.0,55.6095946,12.9937873,51,4.0,5.0,0.8999999761581421
20,18989.0,55.609592,12.9937703,51,4.0,5.0,0.5799999833106995
21,19994.0,55.6095865,12.9937585,51,4.0,5.0,0.7200000286102295
22,20985.0,55.6095785,12.9937553,50,4.0,5.0,0.6600000262260437
23,21993.0,55.6095705,12.9937611,49,4.0,5.0,0.38999998569488525
24,23001.0,55.6095639,12.9937724,48,4.0,108.0,0.800000011920929
25,24001.0,55.6095574,12.9937868,48,4.0,108.0,0.7599999904632568
26,25006.0,55.609557,12.9937987,47,4.0,,
27,25993.0,55.6095617,12.9938084,46,4.0,108.0,0.4000000059604645
28,26987.0,55.6095681,12.9938161,46,4.0,28.0,1.0800000429153442
29,27979.0,55.6095777,12.9938198,46,4.0,108.0,0.9800000190734863
30,28985.0,55.609587,12.9938171,47,4.0,108.0,0.8199999928474426
31,29976.0,55.609596,12.9938063,48,4.0,333.0,1.2400000095367432
32,30978.0,55.6096052,12.9937916,51,4.0,319.0,1.1100000143051147
33,31987.0,55.6096132,12.9937786,50,4.0,108.0,0.6200000047683716
34,32977.0,55.6096175,12.993767,49,4.0,108.0,0.5199999809265137
35,33988.0,55.6096168,12.9937561,50,4.0,108.0,0.550000011920929
36,34979.0,55.6096119,12.9937469,49,5.0,200.0,0.7599999904632568
37,35997.0,55.6096039,12.9937477,50,5.0,167.0,0.7400000095367432
38,37006.0,55.6095951,12.9937558,49,5.0,146.0,0.9300000071525574
39,37987.0,55.6095867,12.9937657,49,5.0,143.0,0.8500000238418579
40,39001.0,55.6095828,12.9937733,48,5.0,126.0,0.5600000023841858
41,40001.0,55.6095816,12.9937807,47,5.0,108.0,0.33000001311302185
42,40972.0,55.6095849,12.9937903,45,5.0,55.0,0.9200000166893005
43,41986.0,55.6095902,12.9938037,44,4.0,50.0,1.0800000429153442
44,42982.0,55.6095959,12.993813,44,4.0,23.0,0.8299999833106995
45,43978.0,55.6096028,12.9938121,44,4.0,356.0,1.0099999904632568
46,44977.0,55.6096078,12.993809,44,4.0,108.0,0.46000000834465027
47,45989.0,55.6096114,12.993806,44,4.0,108.0,0.5
48,46981.0,55.6096153,12.9937965,45,4.0,309.0,1.0399999618530273
49,47981.0,55.6096158,12.9937744,50,4.0,244.0,1.440000057220459
50,48993.0,55.609611,12.9937544,47,5.0,244.0,0.8600000143051147
51,50019.0,55.6096026,12.9937422,46,5.0,244.0,0.9300000071525574
52,51033.0,55.6095946,12.9937375,45,5.0,244.0,0.46000000834465027
53,52029.0,55.6095861,12.9937382,45,5.0,193.0,0.9700000286102295
54,52992.0,55.6095769,12.9937397,45,5.0,243.0,0.4699999988079071
55,53976.0,55.6095698,12.9937433,44,5.0,243.0,0.7599999904632568
56,54988.0,55.6095647,12.9937487,44,5.0,243.0,0.28999999165534973
57,55997.0,55.6095647,12.9937597,45,5.0,86.0,1.0800000429153442
58,56985.0,55.6095658,12.9937709,45,5.0,244.0,0.41999998688697815
59,57985.0,55.6095681,12.9937813,45,5.0,55.0,0.8600000143051147
60,58979.0,55.6095723,12.9937854,45,5.0,243.0,0.6000000238418579
61,59991.0,55.6095793,12.993784,46,5.0,243.0,0.800000011920929
62,60991.0,55.6095883,12.9937746,47,5.0,316.0,0.9599999785423279
63,61978.0,55.609597,12.9937524,48,5.0,286.0,1.590000033378601
64,62981.0,55.6096016,12.9937259,49,5.0,286.0,1.2100000381469727
65,63993.0,55.6096018,12.9937034,49,5.0,285.0,1.1200000047683716
66,64989.0,55.6095988,12.9936843,48,5.0,285.0,0.9300000071525574
67,66008.0,55.6095914,12.9936665,49,5.0,285.0,1.2599999904632568
68,66998.0,55.6095812,12.9936561,48,5.0,220.0,1.2200000286102295
69,67987.0,55.6095698,12.9936535,47,5.0,285.0,0.6700000166893005
70,68985.0,55.6095613,12.9936576,47,5.0,285.0,0.3799999952316284
71,69987.0,55.6095532,12.9936593,47,5.0,284.0,0.20000000298023224
72,70984.0,55.6095456,12.9936648,47,5.0,284.0,0.6200000047683716
73,71983.0,55.6095393,12.9936707,46,5.0,284.0,0.33000001311302185
74,72977.0,55.6095342,12.9936741,45,5.0,284.0,0.27000001072883606
75,73984.0,55.6095319,12.9936773,46,5.0,284.0,0.4000000059604645
76,74982.0,55.6095336,12.9936802,45,5.0,11.0,1.0499999523162842
77,75977.0,55.6095431,12.9936797,44,5.0,353.0,1.0800000429153442
78,76981.0,55.6095518,12.99367,44,4.0,292.0,1.2899999618530273
79,77982.0,55.6095579,12.9936543,44,4.0,291.0,0.8600000143051147
80,78984.0,55.6095611,12.9936385,45,5.0,292.0,0.7400000095367432
81,79985.0,55.6095601,12.993622,46,5.0,292.0,1.0700000524520874
82,80994.0,55.609557,12.9936101,47,5.0,292.0,0.6800000071525574
83,82008.0,55.609551,12.9936054,47,5.0,210.0,1.090000033378601
84,82999.0,55.6095406,12.993607,47,5.0,184.0,1.1699999570846558
85,83990.0,55.6095301,12.9936119,47,5.0,293.0,0.8799999952316284
86,84989.0,55.6095209,12.9936203,46,5.0,292.0,0.5199999809265137
87,85999.0,55.6095151,12.9936298,48,5.0,292.0,0.5
88,86999.0,55.6095143,12.9936408,48,5.0,292.0,0.3100000023841858
89,87985.0,55.6095178,12.9936518,49,5.0,41.0,0.7900000214576721
90,88985.0,55.6095241,12.9936648,48,5.0,26.0,0.8100000023841858
91,89966.0,55.6095313,12.9936739,48,5.0,293.0,0.8100000023841858
92,90986.0,55.6095389,12.9936798,49,4.0,4.0,0.8600000143051147
93,92001.0,55.6095459,12.9936839,49,4.0,357.0,0.6299999952316284
94,92977.0,55.6095531,12.9936822,49,4.0,340.0,0.8600000143051147
95,93969.0,55.6095611,12.9936725,50,4.0,322.0,1.1299999952316284
96,94999.0,55.6095659,12.9936562,51,4.0,249.0,1.1399999856948853
97,95998.0,55.6095664,12.9936399,51,4.0,249.0,1.100000023841858
98,96995.0,55.6095615,12.9936265,51,4.0,249.0,1.1699999570846558
99,97977.0,55.6095535,12.9936218,52,5.0,249.0,0.7599999904632568
100,98979.0,55.6095455,12.9936275,52,5.0,249.0,0.8500000238418579
