,ms,latitude,longitude,altitude,confInterval,heading,speed
0,-1080.0,55.6079816,12.9883485,50,17.0,,
1,-3.0,55.60798,12.9883452,49,11.0,,
2,893.0,55.6079781,12.9883406,49,8.0,,
3,1882.0,55.6079776,12.9883394,48,7.0,,
4,2885.0,55.6079777,12.9883402,47,6.0,,
5,3883.0,55.6079795,12.9883403,47,6.0,,
6,4887.0,55.6079825,12.988341,46,6.0,,
7,5882.0,55.6079846,12.9883419,46,6.0,,
8,6948.0,55.6079874,12.9883443,46,6.0,,
9,7879.0,55.6079905,12.9883468,46,6.0,,
10,8875.0,55.607993,12.9883489,46,6.0,,
11,9877.0,55.6079956,12.9883506,46,6.0,,
12,10880.0,55.6079967,12.9883518,46,5.0,,
13,11890.0,55.6079972,12.9883528,46,5.0,,
14,12885.0,55.6079975,12.9883538,46,5.0,,
15,13879.0,55.6079977,12.9883545,46,5.0,,
16,14895.0,55.6079978,12.988355,46,5.0,,
17,15885.0,55.607998,12.9883553,46,5.0,,
18,16879.0,55.607998,12.9883555,46,5.0,,
19,17887.0,55.6079981,12.9883558,46,5.0,,
20,18887.0,55.6079981,12.9883559,46,5.0,,
21,19880.0,55.6079981,12.9883561,46,5.0,,
22,20888.0,55.6079981,12.9883562,46,5.0,,
23,21876.0,55.6079982,12.9883564,46,5.0,,
24,22882.0,55.6079983,12.9883565,46,5.0,,
25,23879.0,55.6079983,12.9883566,46,4.0,,
26,24890.0,55.6079984,12.9883566,46,4.0,,
27,25880.0,55.6079985,12.9883566,46,4.0,,
28,26917.0,55.6079986,12.9883566,46,4.0,,
29,27880.0,55.6079988,12.9883565,46,4.0,,
30,28887.0,55.6079989,12.9883565,46,4.0,,
31,29872.0,55.6079989,12.9883565,46,4.0,,
32,30879.0,55.607999,12.9883565,46,4.0,,
33,31911.0,55.607999,12.9883565,46,4.0,,
34,32937.0,55.607999,12.9883566,46,4.0,,
35,33955.0,55.6079991,12.9883566,46,4.0,,
36,34911.0,55.607999,12.9883567,46,4.0,,
37,35883.0,55.607999,12.9883569,47,5.0,,
38,36891.0,55.6079989,12.9883569,47,5.0,,
39,37881.0,55.6079988,12.9883569,47,5.0,,
40,38888.0,55.6079988,12.988357,47,5.0,,
41,39884.0,55.6079986,12.988357,47,4.0,,
42,40875.0,55.6079985,12.9883569,47,4.0,,
43,41883.0,55.6079984,12.9883569,47,4.0,,
