,ms,accelX,accelY,accelZ,accelWithGX,accelWithGY,accelWithGZ,rotRateAlpha,rotRateBeta,rotRateGamma,interval
0,91.0,-2.4000000000000004,-1.4000000000000001,0.0,-3.0,2.8000000000000003,8.8,13.8,7.6,-12.9,16
1,113.0,-1.5,-1.8,1.2000000000000002,-2.1,2.4000000000000004,10.100000000000001,-0.6000000000000001,-16.200000000000003,3.3000000000000007,16
2,125.0,-1.1,-2.0,1.3,-1.7000000000000002,2.2,10.100000000000001,2.0,-19.5,3.6000000000000005,16
3,137.0,-0.7000000000000001,-2.2,1.2000000000000002,-1.3,2.1,10.0,6.8,-19.400000000000002,1.9,16
4,154.0,-0.6000000000000001,-2.3000000000000003,0.7000000000000001,-1.2000000000000002,1.9000000000000001,9.600000000000001,21.7,-10.4,-4.9,16
5,172.0,-1.1,-2.3000000000000003,-0.1,-1.6,2.0,8.700000000000001,35.599999999999994,2.9,-9.2,16
6,186.0,-1.3,-2.2,-0.6000000000000001,-1.8,2.1,8.200000000000001,38.800000000000004,6.600000000000001,-9.5,16
7,203.0,-1.5,-2.1,-1.3,-2.1,2.4000000000000004,7.4,36.1,8.2,-7.699999999999999,16
8,220.0,-1.5,-2.0,-1.6,-2.1,2.7,7.0,31.2,6.300000000000001,-6.2,16
9,236.0,-1.6,-1.8,-1.6,-2.3000000000000003,2.8000000000000003,7.0,18.900000000000002,1.7,-3.4,16
10,254.0,-1.5,-1.8,-1.4000000000000001,-2.2,2.9000000000000004,7.2,10.600000000000001,-1.4,0.8,16
11,270.0,-1.3,-1.7000000000000002,-1.5,-2.0,2.9000000000000004,7.1000000000000005,8.100000000000001,-1.5,5.0,16
12,286.0,-1.2000000000000002,-1.7000000000000002,-1.7000000000000002,-1.8,3.0,6.9,7.500000000000001,-0.30000000000000004,6.699999999999999,16
13,303.0,-1.0,-1.6,-2.0,-1.7000000000000002,3.1,6.6000000000000005,5.0,4.2,10.5,16
14,320.0,-0.7000000000000001,-1.5,-2.3000000000000003,-1.3,3.2,6.300000000000001,-2.3,7.1000000000000005,13.399999999999999,16
15,336.0,-0.5,-1.4000000000000001,-2.4000000000000004,-1.1,3.3000000000000003,6.2,-8.2,7.9,14.5,16
16,353.0,-0.30000000000000004,-1.2000000000000002,-2.2,-0.9,3.5,6.4,-22.5,10.0,14.300000000000002,16
17,370.0,-0.4,-0.9,-1.1,-1.1,3.7,7.5,-38.1,17.300000000000004,12.5,16
18,386.0,-0.5,-0.7000000000000001,-0.6000000000000001,-1.2000000000000002,3.8000000000000003,8.1,-41.6,18.200000000000003,12.0,16
19,403.0,-0.6000000000000001,-0.4,-0.2,-1.3,4.1000000000000005,8.9,-44.5,19.400000000000002,11.900000000000002,16
20,420.0,-0.7000000000000001,0.1,0.8,-1.4000000000000001,4.4,9.600000000000001,-44.2,21.6,14.0,16
21,436.0,-0.5,0.30000000000000004,1.0,-1.3,4.5,9.8,-43.300000000000004,22.5,15.5,16
22,453.0,-0.1,0.6000000000000001,1.1,-0.9,4.7,10.0,-40.6,19.1,15.8,16
23,470.0,0.1,0.9,1.1,-0.8,4.9,10.100000000000001,-35.599999999999994,14.400000000000002,11.900000000000002,16
24,486.0,0.1,1.1,1.1,-0.8,5.0,10.0,-31.2,15.000000000000002,9.8,16
25,503.0,0.1,1.3,1.0,-0.9,5.300000000000001,9.9,-20.1,21.8,7.0,16
26,520.0,-0.30000000000000004,1.8,1.0,-1.3,5.6000000000000005,10.0,-11.8,25.0,5.7,16
27,536.0,-0.6000000000000001,2.1,1.0,-1.7000000000000002,5.9,10.0,-9.100000000000001,24.400000000000002,6.1000000000000005,16
28,553.0,-1.0,2.5,1.1,-2.1,6.2,10.100000000000001,-4.6,23.3,10.9,16
29,570.0,-1.2000000000000002,2.5,1.1,-2.4000000000000004,6.300000000000001,10.100000000000001,-1.6,21.7,18.6,16
30,586.0,-1.2000000000000002,2.5,1.1,-2.4000000000000004,6.2,10.100000000000001,-0.4,20.2,22.700000000000003,16
31,603.0,-1.0,2.1,1.0,-2.2,5.800000000000001,10.0,1.6,16.3,30.1,16
32,620.0,-0.7000000000000001,1.6,0.8,-1.9000000000000001,5.4,9.8,4.5,12.5,33.300000000000004,16
33,636.0,-0.6000000000000001,1.5,0.7000000000000001,-1.8,5.2,9.600000000000001,7.9,13.900000000000002,34.7,16
34,654.0,-0.6000000000000001,1.1,0.2,-1.8,4.9,9.200000000000001,9.600000000000001,19.300000000000004,36.8,16
35,670.0,-0.6000000000000001,0.8,0.2,-1.8,4.6000000000000005,9.1,2.4000000000000004,21.900000000000002,40.0,16
36,686.0,-0.30000000000000004,0.6000000000000001,0.30000000000000004,-1.5,4.5,9.3,-4.7,19.700000000000003,40.9,16
37,703.0,0.30000000000000004,0.7000000000000001,1.5,-0.9,4.5,10.4,-20.8,15.899999999999999,36.400000000000006,16
38,720.0,0.1,1.1,3.8000000000000003,-1.1,4.9,12.8,-24.3,18.3,28.0,16
39,736.0,-0.30000000000000004,1.1,4.9,-1.5,4.9,13.9,-16.4,17.200000000000003,24.8,16
40,753.0,-0.7000000000000001,0.8,5.2,-2.0,4.6000000000000005,14.100000000000001,17.300000000000004,4.4,21.500000000000004,16
41,770.0,-0.6000000000000001,0.1,2.6,-1.8,4.0,11.5,60.1,-10.600000000000001,22.2,16
42,786.0,-0.5,-0.2,0.9,-1.7000000000000002,3.8000000000000003,9.700000000000001,76.0,-14.400000000000002,22.700000000000003,16
43,803.0,-0.5,-0.8,-0.9,-1.6,3.3000000000000003,6.7,89.4,-17.799999999999997,22.5,16
44,820.0,-0.6000000000000001,-1.3,-3.2,-1.7000000000000002,3.1,4.800000000000001,79.9,-18.0,20.8,16
45,836.0,-1.0,-1.5,-4.1000000000000005,-2.0,3.1,4.5,68.60000000000001,-19.400000000000002,19.700000000000003,16
46,853.0,-1.6,-1.3,-3.2,-2.5,3.5,5.300000000000001,39.2,-15.399999999999999,19.300000000000004,16
47,870.0,-2.0,-1.2000000000000002,-1.7000000000000002,-2.8000000000000003,3.7,6.800000000000001,14.200000000000001,-12.7,23.6,16
48,886.0,-2.0,-1.1,-1.0,-2.8000000000000003,3.8000000000000003,7.5,5.7,-12.7,26.000000000000004,16
49,903.0,-2.0,-1.1,-0.2,-2.7,3.9000000000000004,8.200000000000001,0.5,-14.400000000000002,30.9,16
50,920.0,-1.6,-1.2000000000000002,-0.5,-2.2,3.8000000000000003,7.9,4.1,-16.900000000000002,32.5,16
51,936.0,-1.6,-1.2000000000000002,-0.5,-2.2,3.8000000000000003,7.9,4.1,-16.900000000000002,32.5,16
52,953.0,-1.6,-1.2000000000000002,-0.5,-2.2,3.8000000000000003,7.9,4.1,-16.900000000000002,32.5,16
53,970.0,-0.9,-1.3,-1.6,-1.4000000000000001,3.7,6.800000000000001,5.7,-20.5,26.9,16
54,986.0,-1.0,-1.0,-1.6,-1.2000000000000002,4.0,6.9,2.0,-24.0,13.5,16
55,1003.0,-1.2000000000000002,-0.8,-1.5,-1.4000000000000001,4.2,6.9,3.1,-17.5,5.300000000000001,16
56,1020.0,-1.4000000000000001,-0.7000000000000001,-1.6,-1.6,4.6000000000000005,6.6000000000000005,5.300000000000001,-6.699999999999999,1.5,16
57,1042.0,-1.4000000000000001,-0.30000000000000004,-2.0,-1.5,5.0,6.300000000000001,2.0,0.9000000000000001,1.0,16
58,1056.0,-1.3,0.2,-2.0,-1.4000000000000001,5.2,6.4,-2.3,2.6,1.1,16
59,1071.0,-1.2000000000000002,0.30000000000000004,-1.3,-1.3,5.4,7.1000000000000005,-12.7,-0.4,0.2,16
60,1086.0,-1.1,0.4,-0.9,-1.3,5.5,7.5,-16.1,-2.7,-0.5,16
