,ms,abs,alpha,beta,gamma
0,144.0,False,203.4,-166.5,0.30000000000000004
1,149.0,False,203.4,-166.60000000000002,0.30000000000000004
2,166.0,False,203.3,-166.70000000000002,-0.1
3,182.0,False,203.0,-166.4,-0.4
4,199.0,False,202.8,-166.5,-0.1
5,221.0,False,202.5,-167.10000000000002,0.2
6,233.0,False,202.3,-167.60000000000002,0.6000000000000001
7,249.0,False,202.3,-167.9,1.6
8,267.0,False,202.20000000000002,-168.20000000000002,1.9000000000000001
9,283.0,False,201.8,-168.20000000000002,1.9000000000000001
10,301.0,False,201.5,-167.9,1.7000000000000002
11,317.0,False,201.3,-167.8,2.0
12,332.0,False,201.10000000000002,-168.10000000000002,2.9000000000000004
13,350.0,False,200.9,-168.3,3.4000000000000004
14,366.0,False,200.8,-168.70000000000002,3.8000000000000003
15,383.0,False,200.70000000000002,-168.9,4.2
16,399.0,False,200.60000000000002,-168.8,4.6000000000000005
17,419.0,False,200.4,-168.3,4.6000000000000005
18,449.0,False,200.3,-168.3,5.0
19,466.0,False,200.3,-168.20000000000002,5.300000000000001
20,482.0,False,200.3,-168.20000000000002,5.5
21,499.0,False,200.3,-168.4,5.6000000000000005
22,516.0,False,200.3,-169.10000000000002,5.6000000000000005
23,532.0,False,200.4,-169.3,5.7
24,550.0,False,200.4,-169.60000000000002,5.6000000000000005
25,568.0,False,200.3,-169.70000000000002,5.5
26,582.0,False,200.3,-169.60000000000002,5.6000000000000005
27,600.0,False,200.4,-169.5,5.7
28,632.0,False,200.4,-169.3,5.9
29,649.0,False,200.5,-169.10000000000002,6.2
30,666.0,False,200.60000000000002,-169.0,6.4
31,700.0,False,200.70000000000002,-168.9,6.6000000000000005
32,719.0,False,200.70000000000002,-169.20000000000002,6.5
33,732.0,False,200.8,-169.5,6.2
34,749.0,False,200.9,-169.8,5.9
35,766.0,False,201.0,-170.20000000000002,5.6000000000000005
36,783.0,False,201.10000000000002,-170.70000000000002,5.2
37,799.0,False,200.9,-171.3,4.2
38,816.0,False,200.70000000000002,-171.70000000000002,3.8000000000000003
39,832.0,False,200.60000000000002,-171.9,3.6
40,849.0,False,200.60000000000002,-172.10000000000002,3.4000000000000004
41,867.0,False,200.5,-171.20000000000002,3.4000000000000004
42,882.0,False,200.4,-171.20000000000002,2.9000000000000004
43,900.0,False,200.20000000000002,-172.20000000000002,2.4000000000000004
44,916.0,False,200.20000000000002,-172.5,2.3000000000000003
45,932.0,False,199.9,-172.5,3.0
46,949.0,False,199.60000000000002,-172.3,4.0
47,966.0,False,199.10000000000002,-172.0,5.0
48,982.0,False,198.8,-171.8,5.7
49,1001.0,False,198.5,-171.9,6.6000000000000005
50,1016.0,False,198.5,-172.10000000000002,6.7
51,1033.0,False,198.5,-172.8,7.1000000000000005
52,1049.0,False,198.60000000000002,-173.3,7.2
53,1066.0,False,198.70000000000002,-174.0,6.7
54,1082.0,False,198.8,-175.0,6.0
55,1099.0,False,198.8,-176.10000000000002,5.1000000000000005
56,1116.0,False,198.9,-177.10000000000002,4.1000000000000005
57,1132.0,False,199.0,-178.0,3.2
58,1149.0,False,199.0,-178.8,2.4000000000000004
59,1166.0,False,199.10000000000002,-179.60000000000002,1.7000000000000002
60,1182.0,False,199.4,179.9,1.2000000000000002
61,1201.0,False,199.70000000000002,179.8,0.7000000000000001
