,ms,distance
0,1078.0,0.0
1,2573.0,1.0
2,3423.0,2.0
3,4188.0,3.0
4,4953.0,4.0
5,5631.0,5.0
6,6528.0,6.0
7,7428.0,7.0
8,8328.0,8.0
9,9228.0,9.0
10,10084.0,10.0
11,11028.0,11.0
12,11928.0,12.0
13,12740.0,13.0
14,13549.0,14.0
15,14403.0,15.0
16,15172.0,16.0
17,16019.0,17.0
18,17014.0,18.0
19,17734.0,19.0
20,18498.0,20.0
21,19218.0,21.0
22,19983.0,22.0
23,20749.0,23.0
24,21559.0,24.0
25,22236.0,25.0
26,23043.0,26.0
27,23853.0,27.0
28,24618.0,28.0
29,25426.0,29.0
30,26237.0,30.0
31,27003.0,31.0
32,27770.0,32.0
33,28575.0,33.0
34,29294.0,34.0
35,30066.0,35.0
36,31098.0,36.0
37,31731.0,37.0
38,32582.0,38.0
39,33303.0,39.0
40,34026.0,40.0
41,34787.0,41.0
42,35553.0,42.0
43,36277.0,43.0
44,37088.0,44.0
45,37893.0,45.0
46,38657.0,46.0
47,39468.0,47.0
48,40323.0,48.0
49,41177.0,49.0
50,41988.0,50.0
51,42708.0,51.0
52,43609.0,52.0
53,44330.0,53.0
54,45093.0,54.0
55,45903.0,55.0
56,46581.0,56.0
57,47479.0,57.0
58,48196.0,58.0
59,48958.0,59.0
60,49595.0,60.0
61,50311.0,61.0
62,51035.0,62.0
63,51888.0,63.0
64,52563.0,64.0
65,53283.0,65.0
66,54205.0,66.0
67,54676.0,67.0
68,55400.0,68.0
69,56061.0,69.0
70,56794.0,70.0
71,57783.0,71.0
72,58548.0,72.0
73,59270.0,73.0
74,59942.0,74.0
75,60303.0,75.0
76,61112.0,76.0
77,61829.0,77.0
78,62508.0,78.0
79,63141.0,79.0
80,63860.0,80.0
81,64799.0,81.0
82,65653.0,82.0
83,66105.0,83.0
84,66824.0,84.0
85,67544.0,85.0
86,68290.0,86.0
87,68987.0,87.0
88,69618.0,88.0
89,70336.0,89.0
90,71014.0,90.0
91,71778.0,91.0
92,72769.0,92.0
93,73128.0,93.0
94,73893.0,94.0
95,74673.0,95.0
96,75287.0,96.0
97,76102.0,97.0
98,76908.0,98.0
99,77896.0,99.0
100,79067.0,100.0
101,79789.0,101.0
102,80596.0,102.0
103,81587.0,103.0
104,82262.0,104.0
105,83051.0,105.0
106,83747.0,106.0
107,84487.0,107.0
108,85278.0,108.0
109,85999.0,109.0
110,86849.0,110.0
111,87530.0,111.0
112,88335.0,112.0
113,89061.0,113.0
114,89778.0,114.0
115,90497.0,115.0
116,91217.0,116.0
117,92029.0,117.0
118,92707.0,118.0
119,93513.0,119.0
120,94279.0,120.0
121,94998.0,121.0
122,95762.0,122.0
123,96437.0,123.0
124,97203.0,124.0
125,97882.0,125.0
126,98688.0,126.0
127,99407.0,127.0
128,100083.0,128.0
129,100758.0,129.0
130,101502.0,130.0
131,102202.0,131.0
132,103053.0,132.0
133,103773.0,133.0
134,104628.0,134.0
135,105122.0,135.0
136,105888.0,136.0
137,106613.0,137.0
138,107284.0,138.0
139,108047.0,139.0
140,108727.0,140.0
141,109487.0,141.0
142,110253.0,142.0
143,111018.0,143.0
144,111737.0,144.0
145,112457.0,145.0
146,113136.0,146.0
147,113856.0,147.0
148,114483.0,148.0
149,115295.0,149.0
150,116014.0,150.0
151,116688.0,151.0
152,117543.0,152.0
153,118220.0,153.0
154,119027.0,154.0
155,119794.0,155.0
156,120465.0,156.0
157,121188.0,157.0
158,121864.0,158.0
159,122628.0,159.0
160,123272.0,160.0
161,124067.0,161.0
162,124879.0,162.0
163,125598.0,163.0
164,126358.0,164.0
165,127126.0,165.0
166,127835.0,166.0
167,128629.0,167.0
168,129377.0,168.0
169,130097.0,169.0
170,130813.0,170.0
171,131534.0,171.0
172,132298.0,172.0
173,132980.0,173.0
174,134009.0,174.0
175,134823.0,175.0
176,135587.0,176.0
177,136352.0,177.0
178,137117.0,178.0
179,137883.0,179.0
180,138602.0,180.0
181,139278.0,181.0
182,139911.0,182.0
183,140723.0,183.0
184,141573.0,184.0
185,142293.0,185.0
186,143014.0,186.0
187,143734.0,187.0
188,144454.0,188.0
189,145180.0,189.0
190,145898.0,190.0
191,146612.0,191.0
192,147378.0,192.0
193,148098.0,193.0
194,148952.0,194.0
195,149526.0,195.0
196,150126.0,196.0
197,151023.0,197.0
198,151787.0,198.0
199,152507.0,199.0
200,153273.0,200.0
201,153948.0,201.0
202,154667.0,202.0
203,155437.0,203.0
204,156239.0,204.0
205,156894.0,205.0
206,157772.0,206.0
207,158494.0,207.0
208,159259.0,208.0
209,159978.0,209.0
210,160784.0,210.0
211,161553.0,211.0
212,162316.0,212.0
213,163087.0,213.0
214,163982.0,214.0
215,164794.0,215.0
216,165513.0,216.0
217,166204.0,217.0
218,166950.0,218.0
219,167805.0,219.0
220,168525.0,220.0
221,169334.0,221.0
222,170058.0,222.0
223,170827.0,223.0
224,171678.0,224.0
225,172441.0,225.0
226,173164.0,226.0
227,173973.0,227.0
228,174697.0,228.0
229,175503.0,229.0
230,176224.0,230.0
231,177079.0,231.0
232,177907.0,232.0
233,178743.0,233.0
234,179553.0,234.0
235,180229.0,235.0
236,180935.0,236.0
237,181672.0,237.0
238,182522.0,238.0
239,183377.0,239.0
240,184097.0,240.0
241,184728.0,241.0
242,185451.0,242.0
243,186302.0,243.0
244,187066.0,244.0
245,187878.0,245.0
246,188597.0,246.0
247,189407.0,247.0
248,190263.0,248.0
249,190942.0,249.0
250,191748.0,250.0
251,192514.0,251.0
252,193277.0,252.0
253,194268.0,253.0
254,195033.0,254.0
255,195614.0,255.0
256,196335.0,256.0
257,197102.0,257.0
258,197954.0,258.0
259,198763.0,259.0
260,199518.0,260.0
261,200297.0,261.0
262,201154.0,262.0
263,201873.0,263.0
264,202638.0,264.0
265,203362.0,265.0
266,204122.0,266.0
267,204888.0,267.0
268,205607.0,268.0
269,206327.0,269.0
270,207138.0,270.0
271,207902.0,271.0
272,208623.0,272.0
273,209343.0,273.0
274,210108.0,274.0
275,210827.0,275.0
276,211593.0,276.0
277,212314.0,277.0
278,212991.0,278.0
279,213843.0,279.0
280,214518.0,280.0
281,215238.0,281.0
282,216003.0,282.0
283,216719.0,283.0
284,217488.0,284.0
285,218162.0,285.0
286,218973.0,286.0
287,219603.0,287.0
288,220323.0,288.0
289,221044.0,289.0
290,221815.0,290.0
291,222530.0,291.0
292,223378.0,292.0
293,224193.0,293.0
294,225003.0,294.0
295,225816.0,295.0
296,226668.0,296.0
297,227211.0,297.0
298,227927.0,298.0
299,228693.0,299.0
300,229414.0,300.0
301,230178.0,301.0
302,230898.0,302.0
303,231578.0,303.0
304,232341.0,304.0
305,233102.0,305.0
306,233823.0,306.0
307,234588.0,307.0
308,235311.0,308.0
309,236072.0,309.0
310,236882.0,310.0
311,237557.0,311.0
312,238323.0,312.0
313,239135.0,313.0
314,239946.0,314.0
315,240753.0,315.0
316,241473.0,316.0
317,242237.0,317.0
318,242958.0,318.0
319,243813.0,319.0
320,244484.0,320.0
321,245159.0,321.0
322,245882.0,322.0
323,246691.0,323.0
324,247324.0,324.0
325,248046.0,325.0
326,248855.0,326.0
