,ms,abs,alpha,beta,gamma
0,197.0,False,94.4,29.400000000000002,-8.9
1,225.0,False,94.60000000000001,29.700000000000003,-9.1
2,369.0,False,94.7,29.5,-9.200000000000001
3,385.0,False,94.80000000000001,29.5,-9.200000000000001
4,411.0,False,94.9,29.3,-9.200000000000001
5,521.0,False,94.9,29.400000000000002,-9.0
6,552.0,False,94.80000000000001,29.400000000000002,-8.8
7,570.0,False,94.7,29.400000000000002,-8.6
8,586.0,False,94.7,29.3,-8.5
9,603.0,False,94.60000000000001,29.1,-8.3
10,620.0,False,94.60000000000001,29.0,-8.1
11,636.0,False,94.5,28.900000000000002,-7.800000000000001
12,653.0,False,94.4,28.700000000000003,-7.300000000000001
13,670.0,False,94.2,28.5,-6.7
14,686.0,False,94.2,28.3,-6.4
15,702.0,False,94.0,28.200000000000003,-5.7
16,720.0,False,93.9,28.0,-5.1000000000000005
17,735.0,False,93.80000000000001,27.900000000000002,-4.800000000000001
18,752.0,False,93.7,27.8,-4.2
19,770.0,False,93.60000000000001,27.700000000000003,-3.9000000000000004
20,785.0,False,93.5,27.400000000000002,-3.4000000000000004
21,805.0,False,93.30000000000001,27.200000000000003,-3.0
22,820.0,False,93.2,27.1,-2.8000000000000003
23,836.0,False,93.10000000000001,26.900000000000002,-2.5
24,853.0,False,93.0,26.900000000000002,-2.3000000000000003
25,886.0,False,92.80000000000001,26.8,-2.2
26,902.0,False,92.60000000000001,26.8,-2.0
27,919.0,False,92.5,26.8,-1.9000000000000001
28,936.0,False,92.4,26.900000000000002,-1.7000000000000002
29,954.0,False,92.4,26.900000000000002,-1.6
30,969.0,False,92.4,26.900000000000002,-1.5
31,986.0,False,92.4,26.900000000000002,-1.3
32,1005.0,False,92.30000000000001,26.8,-0.9
33,1021.0,False,92.30000000000001,26.8,-0.7000000000000001
34,1036.0,False,92.4,26.900000000000002,-0.4
35,1053.0,False,92.5,26.900000000000002,-0.1
36,1069.0,False,92.60000000000001,27.0,0.0
37,1087.0,False,92.60000000000001,27.0,0.2
38,1104.0,False,92.60000000000001,27.1,0.2
39,1128.0,False,92.7,27.1,0.1
40,1136.0,False,92.7,27.0,0.1
41,1154.0,False,92.80000000000001,27.0,0.1
42,1169.0,False,92.80000000000001,27.0,0.0
43,1186.0,False,92.9,27.0,-0.1
44,1221.0,False,92.80000000000001,27.1,-0.2
45,1236.0,False,92.7,27.1,-0.2
46,1286.0,False,92.5,27.1,-0.2
47,1303.0,False,92.5,27.0,-0.2
48,1356.0,False,92.30000000000001,26.900000000000002,-0.30000000000000004
49,1386.0,False,92.30000000000001,26.8,-0.5
50,1402.0,False,92.2,26.8,-0.6000000000000001
51,1437.0,False,92.0,26.700000000000003,-0.6000000000000001
52,1453.0,False,92.0,26.6,-0.7000000000000001
53,1469.0,False,91.9,26.5,-0.8
54,1508.0,False,91.7,26.3,-0.9
55,1528.0,False,91.5,26.3,-0.8
56,1570.0,False,91.30000000000001,26.400000000000002,-0.8
57,1602.0,False,91.2,26.400000000000002,-0.8
58,1635.0,False,91.30000000000001,26.200000000000003,-1.3
59,1653.0,False,91.7,25.8,-2.3000000000000003
60,1677.0,False,92.4,25.3,-3.7
61,1687.0,False,92.80000000000001,25.0,-4.6000000000000005
62,1710.0,False,94.30000000000001,23.200000000000003,-8.4
63,1720.0,False,95.0,22.400000000000002,-10.0
64,1738.0,False,96.7,20.6,-13.3
65,1752.0,False,97.60000000000001,19.700000000000003,-15.100000000000001
66,1771.0,False,99.4,17.6,-18.400000000000002
67,1788.0,False,101.10000000000001,15.3,-21.3
68,1803.0,False,101.80000000000001,14.0,-22.6
69,1828.0,False,102.80000000000001,11.4,-24.8
70,1843.0,False,103.30000000000001,8.5,-26.1
71,1859.0,False,103.2,5.7,-26.5
72,1871.0,False,103.0,4.3,-26.200000000000003
73,1910.0,False,100.80000000000001,-1.2000000000000002,-23.0
74,1920.0,False,100.10000000000001,-2.7,-21.900000000000002
75,1936.0,False,99.4,-4.2,-20.700000000000003
76,1952.0,False,98.0,-7.300000000000001,-18.3
77,1971.0,False,96.80000000000001,-10.3,-15.5
78,1988.0,False,96.30000000000001,-11.600000000000001,-14.0
79,2002.0,False,95.7,-13.9,-11.100000000000001
80,2020.0,False,95.80000000000001,-15.3,-8.8
81,2035.0,False,96.10000000000001,-15.700000000000001,-8.1
82,2057.0,False,96.80000000000001,-15.8,-8.1
83,2069.0,False,97.2,-15.600000000000001,-8.6
84,2086.0,False,97.7,-14.700000000000001,-10.0
85,2102.0,False,98.2,-13.700000000000001,-10.9
86,2128.0,False,98.30000000000001,-13.3,-11.4
87,2138.0,False,98.10000000000001,-13.4,-11.4
88,2152.0,False,97.9,-13.700000000000001,-11.200000000000001
89,2172.0,False,97.60000000000001,-15.0,-10.4
90,2185.0,False,97.60000000000001,-15.3,-10.200000000000001
91,2203.0,False,97.7,-15.600000000000001,-9.9
92,2224.0,False,97.7,-15.4,-10.0
93,2237.0,False,97.80000000000001,-15.100000000000001,-10.200000000000001
94,2252.0,False,97.9,-14.200000000000001,-11.200000000000001
95,2270.0,False,98.0,-13.700000000000001,-11.8
96,2286.0,False,97.9,-12.8,-13.100000000000001
97,2303.0,False,97.7,-12.200000000000001,-14.100000000000001
98,2325.0,False,97.4,-11.9,-14.8
99,2342.0,False,97.2,-11.9,-14.9
100,2371.0,False,96.9,-12.200000000000001,-15.0
101,2391.0,False,96.60000000000001,-12.5,-15.3
102,2410.0,False,96.2,-12.9,-15.600000000000001
103,2420.0,False,96.0,-13.0,-15.8
104,2438.0,False,95.5,-13.3,-16.3
105,2455.0,False,95.0,-13.600000000000001,-16.8
106,2470.0,False,94.80000000000001,-13.8,-17.0
107,2486.0,False,94.2,-14.3,-17.400000000000002
108,2502.0,False,93.9,-14.5,-17.7
109,2526.0,False,93.10000000000001,-15.3,-18.400000000000002
110,2544.0,False,92.9,-15.600000000000001,-18.5
111,2553.0,False,92.7,-15.8,-18.6
112,2571.0,False,92.4,-16.1,-18.8
113,2587.0,False,92.10000000000001,-16.2,-19.0
114,2602.0,False,92.0,-16.1,-19.0
115,2625.0,False,92.10000000000001,-15.200000000000001,-19.5
116,2641.0,False,92.2,-14.700000000000001,-19.700000000000003
117,2656.0,False,92.4,-13.5,-20.1
118,2669.0,False,92.5,-13.0,-20.3
119,2689.0,False,92.7,-12.100000000000001,-20.5
120,2702.0,False,92.80000000000001,-11.8,-20.6
121,2726.0,False,92.9,-11.0,-20.8
122,2753.0,False,92.9,-10.8,-20.8
123,2786.0,False,92.7,-10.9,-20.700000000000003
124,2805.0,False,92.5,-11.200000000000001,-20.5
125,2828.0,False,92.0,-11.700000000000001,-20.400000000000002
126,2840.0,False,91.80000000000001,-11.9,-20.400000000000002
127,2854.0,False,91.60000000000001,-12.0,-20.5
128,2871.0,False,91.0,-12.4,-20.8
129,2885.0,False,90.60000000000001,-12.600000000000001,-21.0
130,2905.0,False,89.60000000000001,-13.0,-21.5
131,2920.0,False,88.60000000000001,-13.3,-21.8
132,2937.0,False,88.10000000000001,-13.3,-21.8
133,2959.0,False,87.0,-13.0,-21.700000000000003
134,2969.0,False,86.80000000000001,-12.9,-21.6
135,2986.0,False,86.7,-12.8,-21.5
136,3010.0,False,86.5,-12.5,-20.900000000000002
137,3033.0,False,86.60000000000001,-12.5,-20.700000000000003
138,3043.0,False,86.7,-12.4,-20.200000000000003
139,3052.0,False,86.7,-12.5,-20.0
140,3070.0,False,86.7,-12.8,-19.6
141,3085.0,False,86.7,-13.0,-19.400000000000002
142,3102.0,False,86.60000000000001,-13.5,-19.0
143,3122.0,False,86.5,-14.0,-18.6
144,3137.0,False,86.5,-14.3,-18.400000000000002
145,3152.0,False,86.4,-14.8,-18.2
146,3169.0,False,86.30000000000001,-15.0,-18.2
147,3185.0,False,86.2,-15.5,-18.0
148,3203.0,False,86.10000000000001,-15.8,-17.8
149,3224.0,False,86.10000000000001,-16.0,-17.6
150,3238.0,False,86.10000000000001,-16.2,-17.5
