,Unnamed: 0,ms,distance
244,244,187066.0,244.0
245,245,187878.0,245.0
246,246,188597.0,246.0
247,247,189407.0,247.0
248,248,190263.0,248.0
249,249,190942.0,249.0
250,250,191748.0,250.0
251,251,192514.0,251.0
252,252,193277.0,252.0
253,253,194268.0,253.0
254,254,195033.0,254.0
255,255,195614.0,255.0
256,256,196335.0,256.0
257,257,197102.0,257.0
258,258,197954.0,258.0
259,259,198763.0,259.0
260,260,199518.0,260.0
261,261,200297.0,261.0
262,262,201154.0,262.0
263,263,201873.0,263.0
264,264,202638.0,264.0
265,265,203362.0,265.0
266,266,204122.0,266.0
267,267,204888.0,267.0
268,268,205607.0,268.0
269,269,206327.0,269.0
270,270,207138.0,270.0
271,271,207902.0,271.0
272,272,208623.0,272.0
273,273,209343.0,273.0
274,274,210108.0,274.0
275,275,210827.0,275.0
276,276,211593.0,276.0
277,277,212314.0,277.0
278,278,212991.0,278.0
279,279,213843.0,279.0
280,280,214518.0,280.0
281,281,215238.0,281.0
282,282,216003.0,282.0
283,283,216719.0,283.0
284,284,217488.0,284.0
285,285,218162.0,285.0
286,286,218973.0,286.0
287,287,219603.0,287.0
288,288,220323.0,288.0
289,289,221044.0,289.0
290,290,221815.0,290.0
291,291,222530.0,291.0
292,292,223378.0,292.0
293,293,224193.0,293.0
294,294,225003.0,294.0
295,295,225816.0,295.0
296,296,226668.0,296.0
297,297,227211.0,297.0
298,298,227927.0,298.0
299,299,228693.0,299.0
300,300,229414.0,300.0
301,301,230178.0,301.0
302,302,230898.0,302.0
303,303,231578.0,303.0
304,304,232341.0,304.0
305,305,233102.0,305.0
306,306,233823.0,306.0
307,307,234588.0,307.0
308,308,235311.0,308.0
309,309,236072.0,309.0
310,310,236882.0,310.0
311,311,237557.0,311.0
312,312,238323.0,312.0
313,313,239135.0,313.0
314,314,239946.0,314.0
315,315,240753.0,315.0
316,316,241473.0,316.0
317,317,242237.0,317.0
318,318,242958.0,318.0
319,319,243813.0,319.0
320,320,244484.0,320.0
321,321,245159.0,321.0
322,322,245882.0,322.0
323,323,246691.0,323.0
324,324,247324.0,324.0
325,325,248046.0,325.0
326,326,248855.0,326.0
327,327,249614.0,327.0
328,328,250295.0,328.0
329,329,251061.0,329.0
330,330,251823.0,330.0
331,331,252545.0,331.0
332,332,253397.0,332.0
333,333,254208.0,333.0
334,334,254927.0,334.0
335,335,255692.0,335.0
336,336,256369.0,336.0
337,337,257001.0,337.0
338,338,257811.0,338.0
339,339,258662.0,339.0
340,340,259381.0,340.0
341,341,260103.0,341.0
342,342,260867.0,342.0
343,343,261587.0,343.0
344,344,262348.0,344.0
345,345,263118.0,345.0
346,346,263924.0,346.0
347,347,264643.0,347.0
348,348,265409.0,348.0
349,349,266173.0,349.0
350,350,266938.0,350.0
351,351,267662.0,351.0
352,352,268427.0,352.0
353,353,269102.0,353.0
354,354,269915.0,354.0
355,355,270681.0,355.0
356,356,271532.0,356.0
357,357,272295.0,357.0
358,358,273063.0,358.0
359,359,273787.0,359.0
360,360,274682.0,360.0
361,361,275357.0,361.0
362,362,276127.0,362.0
363,363,276889.0,363.0
364,364,277608.0,364.0
365,365,278287.0,365.0
366,366,279137.0,366.0
367,367,279767.0,367.0
368,368,280575.0,368.0
369,369,281296.0,369.0
370,370,282014.0,370.0
371,371,282770.0,371.0
372,372,283591.0,372.0
373,373,284491.0,373.0
374,374,285257.0,374.0
375,375,286067.0,375.0
376,376,286786.0,376.0
377,377,287507.0,377.0
378,378,288271.0,378.0
379,379,289037.0,379.0
380,380,289851.0,380.0
381,381,290747.0,381.0
382,382,291467.0,382.0
383,383,292367.0,383.0
384,384,293089.0,384.0
385,385,293675.0,385.0
386,386,294482.0,386.0
387,387,295247.0,387.0
388,388,296057.0,388.0
389,389,296778.0,389.0
390,390,297591.0,390.0
391,391,298397.0,391.0
392,392,299117.0,392.0
393,393,299927.0,393.0
394,394,300665.0,394.0
395,395,301502.0,395.0
396,396,302223.0,396.0
397,397,302898.0,397.0
398,398,303708.0,398.0
399,399,304473.0,399.0
400,400,305192.0,400.0
401,401,305959.0,401.0
402,402,306767.0,402.0
403,403,307489.0,403.0
404,404,308253.0,404.0
405,405,309021.0,405.0
406,406,309697.0,406.0
407,407,310413.0,407.0
408,408,311267.0,408.0
409,409,311986.0,409.0
410,410,312711.0,410.0
411,411,313477.0,411.0
412,412,314237.0,412.0
413,413,314998.0,413.0
414,414,315721.0,414.0
415,415,316667.0,415.0
416,416,317343.0,416.0
417,417,318016.0,417.0
418,418,318786.0,418.0
419,419,319592.0,419.0
420,420,320402.0,420.0
421,421,321172.0,421.0
422,422,321978.0,422.0
423,423,322746.0,423.0
424,424,323554.0,424.0
425,425,324362.0,425.0
426,426,325351.0,426.0
427,427,326072.0,427.0
428,428,326838.0,428.0
429,429,327648.0,429.0
430,430,328457.0,430.0
431,431,329308.0,431.0
432,432,330163.0,432.0
433,433,330993.0,433.0
434,434,331782.0,434.0
435,435,332549.0,435.0
436,436,333358.0,436.0
437,437,334172.0,437.0
438,438,334847.0,438.0
439,439,335657.0,439.0
440,440,336467.0,440.0
441,441,337277.0,441.0
442,442,338042.0,442.0
443,443,338807.0,443.0
444,444,339573.0,444.0
445,445,340331.0,445.0
446,446,341148.0,446.0
447,447,341868.0,447.0
448,448,342676.0,448.0
449,449,343442.0,449.0
450,450,344179.0,450.0
451,451,344930.0,451.0
452,452,345827.0,452.0
453,453,346457.0,453.0
454,454,347268.0,454.0
455,455,347946.0,455.0
456,456,348798.0,456.0
457,457,349562.0,457.0
458,458,350192.0,458.0
459,459,351002.0,459.0
460,460,351841.0,460.0
461,461,352937.0,461.0
462,462,357933.0,461.0
