,ms,abs,alpha,beta,gamma
0,61.0,False,13.3,20.3,0.4
1,75.0,False,13.200000000000001,20.3,1.1
2,86.0,False,13.200000000000001,20.5,1.2000000000000002
3,103.0,False,13.600000000000001,20.700000000000003,0.9
4,119.0,False,13.9,20.8,0.5
5,135.0,False,14.600000000000001,20.5,-0.8
6,151.0,False,15.200000000000001,19.900000000000002,-1.7000000000000002
7,168.0,False,15.5,19.5,-2.1
8,185.0,False,15.700000000000001,19.400000000000002,-2.1
9,202.0,False,16.0,19.0,-2.3000000000000003
10,221.0,False,16.400000000000002,18.400000000000002,-2.6
11,236.0,False,16.5,17.900000000000002,-2.7
12,252.0,False,16.7,17.3,-2.8000000000000003
13,268.0,False,17.1,17.2,-2.9000000000000004
14,285.0,False,17.3,17.400000000000002,-3.0
15,302.0,False,17.8,18.0,-3.2
16,318.0,False,18.400000000000002,18.0,-3.9000000000000004
17,336.0,False,18.7,17.900000000000002,-4.1000000000000005
18,352.0,False,19.0,17.8,-4.1000000000000005
19,368.0,False,19.200000000000003,17.7,-4.0
20,402.0,False,19.6,17.8,-3.7
21,418.0,False,19.8,17.8,-3.4000000000000004
22,436.0,False,19.8,17.7,-3.3000000000000003
23,452.0,False,20.0,17.7,-3.2
24,468.0,False,20.1,17.6,-3.2
25,485.0,False,20.200000000000003,17.5,-3.3000000000000003
26,502.0,False,20.400000000000002,17.400000000000002,-3.2
27,518.0,False,20.6,17.3,-3.0
28,535.0,False,20.8,17.3,-2.8000000000000003
29,552.0,False,21.1,17.400000000000002,-2.4000000000000004
30,568.0,False,21.3,17.6,-2.2
31,585.0,False,21.400000000000002,17.7,-2.1
32,602.0,False,21.700000000000003,17.900000000000002,-2.1
33,618.0,False,22.0,18.0,-1.9000000000000001
34,635.0,False,22.1,18.1,-1.7000000000000002
35,652.0,False,22.200000000000003,18.3,-1.2000000000000002
36,668.0,False,22.3,18.6,-0.8
37,685.0,False,22.3,18.7,-0.6000000000000001
38,702.0,False,22.5,19.1,-0.4
39,718.0,False,22.5,19.400000000000002,-0.1
40,735.0,False,22.5,19.5,0.0
41,752.0,False,22.400000000000002,19.8,0.1
42,769.0,False,22.200000000000003,19.900000000000002,0.2
43,785.0,False,22.200000000000003,20.0,0.30000000000000004
44,802.0,False,22.3,20.200000000000003,0.4
45,818.0,False,22.400000000000002,20.3,0.2
46,835.0,False,22.5,20.3,-0.1
47,852.0,False,22.6,20.400000000000002,-0.7000000000000001
48,869.0,False,22.6,20.200000000000003,-1.0
49,885.0,False,22.6,20.1,-1.1
50,902.0,False,22.6,20.0,-0.9
51,919.0,False,22.900000000000002,20.0,-0.7000000000000001
52,935.0,False,23.1,20.0,-0.5
53,952.0,False,23.400000000000002,19.8,-0.4
54,969.0,False,23.5,19.6,-0.6000000000000001
55,985.0,False,23.5,19.5,-0.6000000000000001
56,1002.0,False,23.6,19.400000000000002,-0.5
57,1019.0,False,23.700000000000003,19.400000000000002,-0.4
58,1035.0,False,23.8,19.3,-0.4
59,1051.0,False,24.1,19.200000000000003,-0.6000000000000001
60,1069.0,False,24.3,18.900000000000002,-0.7000000000000001
61,1135.0,False,24.400000000000002,19.0,-0.9
62,1152.0,False,24.400000000000002,18.8,-1.0
63,1169.0,False,24.3,18.6,-1.2000000000000002
64,1185.0,False,24.3,18.5,-1.2000000000000002
65,1219.0,False,24.1,18.400000000000002,-1.4000000000000001
66,1235.0,False,24.1,18.3,-1.4000000000000001
67,1252.0,False,24.1,18.400000000000002,-1.4000000000000001
