,ms,abs,alpha,beta,gamma
0,220.0,False,86.7,18.8,7.5
1,235.0,False,86.60000000000001,18.7,7.800000000000001
2,252.0,False,86.5,18.3,8.200000000000001
3,268.0,False,86.80000000000001,17.900000000000002,8.200000000000001
4,285.0,False,87.30000000000001,17.7,7.800000000000001
5,301.0,False,87.7,17.6,7.4
6,318.0,False,88.5,17.8,6.6000000000000005
7,335.0,False,89.4,18.3,5.4
8,352.0,False,89.80000000000001,18.6,4.800000000000001
9,368.0,False,90.60000000000001,19.200000000000003,3.4000000000000004
10,386.0,False,91.10000000000001,19.700000000000003,1.7000000000000002
11,403.0,False,91.10000000000001,19.700000000000003,0.30000000000000004
12,418.0,False,90.7,19.6,0.0
13,435.0,False,89.4,19.0,0.2
14,460.0,False,87.7,18.3,0.9
15,468.0,False,87.0,17.900000000000002,1.5
16,485.0,False,85.7,16.900000000000002,2.8000000000000003
17,504.0,False,85.10000000000001,15.9,4.0
18,520.0,False,85.0,15.100000000000001,4.9
19,537.0,False,85.30000000000001,14.600000000000001,5.0
20,618.0,False,86.9,15.200000000000001,3.3000000000000003
21,635.0,False,87.0,15.5,3.2
22,651.0,False,86.9,15.700000000000001,3.0
23,668.0,False,86.30000000000001,15.8,2.8000000000000003
24,689.0,False,85.9,15.9,2.7
25,703.0,False,85.0,16.0,2.6
26,720.0,False,83.80000000000001,15.8,3.3000000000000003
27,735.0,False,83.10000000000001,15.200000000000001,4.9
28,751.0,False,83.0,14.700000000000001,5.4
29,768.0,False,83.2,13.600000000000001,6.1000000000000005
30,792.0,False,83.60000000000001,12.600000000000001,6.6000000000000005
31,811.0,False,84.0,12.3,6.9
32,822.0,False,84.10000000000001,12.4,7.1000000000000005
33,835.0,False,84.2,12.5,7.300000000000001
34,851.0,False,84.5,12.9,7.7
35,870.0,False,84.7,13.200000000000001,7.7
36,884.0,False,84.80000000000001,13.3,7.5
37,903.0,False,85.2,13.3,7.1000000000000005
38,922.0,False,85.9,13.3,6.300000000000001
39,935.0,False,86.4,13.200000000000001,5.800000000000001
40,951.0,False,87.2,13.3,4.6000000000000005
41,968.0,False,87.9,13.8,3.4000000000000004
42,984.0,False,88.30000000000001,14.600000000000001,2.6
43,1001.0,False,88.4,14.9,2.4000000000000004
44,1020.0,False,88.60000000000001,15.4,2.2
45,1034.0,False,88.9,15.4,2.1
46,1052.0,False,89.10000000000001,15.200000000000001,1.9000000000000001
47,1071.0,False,89.5,14.9,1.4000000000000001
48,1085.0,False,90.0,15.0,1.0
49,1102.0,False,90.5,15.4,0.7000000000000001
50,1123.0,False,91.10000000000001,15.9,0.2
51,1146.0,False,91.5,16.2,-0.4
52,1168.0,False,91.80000000000001,16.3,-1.1
53,1185.0,False,92.0,16.3,-1.7000000000000002
54,1201.0,False,92.2,16.400000000000002,-2.2
55,1218.0,False,92.2,16.5,-2.8000000000000003
56,1234.0,False,92.2,16.6,-3.2
57,1251.0,False,92.0,16.8,-4.1000000000000005
58,1268.0,False,91.80000000000001,17.2,-5.0
59,1284.0,False,91.7,17.400000000000002,-5.4
60,1301.0,False,91.7,17.900000000000002,-6.1000000000000005
61,1318.0,False,91.9,18.6,-6.9
62,1334.0,False,92.2,19.3,-7.7
63,1351.0,False,92.4,19.700000000000003,-8.0
64,1368.0,False,92.7,20.400000000000002,-8.5
65,1384.0,False,93.10000000000001,21.200000000000003,-8.8
66,1402.0,False,93.30000000000001,21.6,-9.0
67,1418.0,False,93.7,22.3,-9.3
68,1435.0,False,93.9,23.0,-9.5
69,1452.0,False,93.80000000000001,23.400000000000002,-9.5
70,1468.0,False,93.7,23.400000000000002,-9.4
71,1493.0,False,93.4,23.1,-9.1
72,1501.0,False,93.4,22.900000000000002,-9.1
73,1521.0,False,93.2,22.700000000000003,-9.4
74,1537.0,False,93.10000000000001,22.5,-9.5
75,1553.0,False,92.80000000000001,22.0,-9.9
76,1570.0,False,92.5,21.3,-10.0
77,1585.0,False,92.2,20.8,-9.9
78,1603.0,False,91.5,19.6,-9.700000000000001
79,1619.0,False,90.80000000000001,18.3,-9.9
80,1634.0,False,90.4,17.7,-10.100000000000001
81,1654.0,False,89.7,16.8,-10.600000000000001
82,1674.0,False,89.10000000000001,16.400000000000002,-10.700000000000001
83,1689.0,False,88.80000000000001,16.3,-10.5
84,1704.0,False,88.7,16.3,-10.5
85,1720.0,False,88.80000000000001,16.400000000000002,-10.700000000000001
86,1734.0,False,88.80000000000001,16.400000000000002,-11.0
87,1751.0,False,88.80000000000001,16.6,-11.700000000000001
88,1769.0,False,88.7,16.8,-12.200000000000001
89,1785.0,False,88.5,17.1,-12.200000000000001
90,1802.0,False,88.30000000000001,17.2,-12.100000000000001
91,1818.0,False,87.9,17.400000000000002,-11.700000000000001
92,1834.0,False,87.5,17.5,-11.200000000000001
93,1851.0,False,87.10000000000001,17.7,-10.9
94,1868.0,False,87.0,17.900000000000002,-10.8
95,1885.0,False,86.80000000000001,18.400000000000002,-10.8
96,1901.0,False,86.60000000000001,19.1,-10.9
97,1918.0,False,86.60000000000001,19.400000000000002,-11.0
98,1935.0,False,86.5,20.0,-11.200000000000001
99,1951.0,False,86.30000000000001,20.6,-11.200000000000001
100,1968.0,False,86.2,20.900000000000002,-11.100000000000001
101,1989.0,False,85.9,21.5,-10.8
102,2001.0,False,85.7,21.700000000000003,-10.600000000000001
103,2018.0,False,85.4,21.900000000000002,-10.4
104,2034.0,False,85.2,22.0,-10.3
105,2051.0,False,84.9,22.1,-10.100000000000001
106,2068.0,False,84.5,22.200000000000003,-10.100000000000001
107,2084.0,False,84.4,22.1,-10.100000000000001
108,2104.0,False,84.30000000000001,22.0,-10.4
109,2118.0,False,84.4,21.8,-11.100000000000001
110,2134.0,False,84.80000000000001,21.700000000000003,-11.8
111,2153.0,False,85.0,21.700000000000003,-12.100000000000001
112,2168.0,False,85.30000000000001,21.5,-12.5
113,2185.0,False,85.60000000000001,21.1,-12.9
114,2203.0,False,85.80000000000001,20.5,-13.5
115,2218.0,False,86.0,20.200000000000003,-13.9
116,2234.0,False,86.30000000000001,19.8,-14.600000000000001
117,2253.0,False,86.9,19.5,-15.100000000000001
118,2268.0,False,87.30000000000001,19.5,-15.3
119,2284.0,False,88.30000000000001,19.3,-15.9
120,2301.0,False,89.5,19.3,-16.7
121,2318.0,False,90.0,19.3,-17.1
122,2335.0,False,91.0,19.200000000000003,-18.0
123,2353.0,False,92.0,19.1,-18.5
124,2369.0,False,93.0,19.1,-18.8
125,2386.0,False,94.2,19.200000000000003,-19.200000000000003
126,2402.0,False,94.80000000000001,19.3,-19.5
127,2420.0,False,96.0,19.8,-19.900000000000002
128,2435.0,False,97.2,20.400000000000002,-20.1
129,2451.0,False,97.7,20.8,-20.200000000000003
130,2468.0,False,98.80000000000001,21.6,-20.3
131,2485.0,False,99.80000000000001,22.5,-20.6
132,2501.0,False,100.30000000000001,23.0,-20.700000000000003
133,2518.0,False,101.30000000000001,23.900000000000002,-21.0
134,2534.0,False,102.2,24.700000000000003,-21.6
135,2551.0,False,102.7,25.0,-21.900000000000002
136,2568.0,False,103.4,25.400000000000002,-22.5
137,2585.0,False,103.80000000000001,25.700000000000003,-23.0
138,2601.0,False,104.10000000000001,26.0,-23.200000000000003
139,2618.0,False,104.2,26.1,-23.200000000000003
140,2634.0,False,104.4,26.1,-23.5
141,2654.0,False,104.5,25.900000000000002,-24.1
142,2674.0,False,104.7,25.700000000000003,-25.0
143,2686.0,False,104.7,25.5,-25.5
144,2703.0,False,104.80000000000001,24.900000000000002,-26.6
145,2721.0,False,104.5,24.0,-27.5
146,2735.0,False,104.2,23.3,-28.0
147,2751.0,False,103.5,22.1,-29.200000000000003
148,2768.0,False,102.80000000000001,21.200000000000003,-30.5
149,2786.0,False,102.30000000000001,20.8,-31.5
150,2802.0,False,102.2,20.700000000000003,-31.700000000000003
151,2818.0,False,102.0,20.5,-31.5
152,2835.0,False,101.9,20.1,-31.0
153,2852.0,False,101.80000000000001,19.900000000000002,-30.8
154,2868.0,False,101.5,19.3,-30.6
155,2884.0,False,101.30000000000001,19.0,-30.6
156,2901.0,False,100.9,18.7,-30.6
157,2918.0,False,100.4,18.5,-30.6
158,2934.0,False,100.10000000000001,18.6,-30.3
159,2951.0,False,99.7,18.7,-29.900000000000002
160,2968.0,False,99.60000000000001,18.8,-29.700000000000003
161,2984.0,False,99.2,19.0,-29.3
162,3001.0,False,98.80000000000001,19.3,-29.1
163,3020.0,False,98.4,19.8,-28.900000000000002
164,3037.0,False,98.2,20.1,-28.8
165,3051.0,False,98.0,20.700000000000003,-28.8
166,3068.0,False,97.9,20.900000000000002,-28.8
167,3085.0,False,97.80000000000001,21.5,-29.0
168,3101.0,False,97.60000000000001,22.0,-29.200000000000003
169,3118.0,False,97.30000000000001,22.400000000000002,-29.400000000000002
170,3137.0,False,96.7,22.8,-29.1
171,3151.0,False,96.30000000000001,22.8,-28.8
172,3168.0,False,95.30000000000001,22.8,-27.8
173,3186.0,False,94.80000000000001,22.6,-27.200000000000003
174,3202.0,False,93.60000000000001,22.1,-26.1
175,3219.0,False,92.7,21.6,-25.400000000000002
176,3239.0,False,92.0,21.200000000000003,-24.900000000000002
177,3254.0,False,91.60000000000001,21.0,-24.400000000000002
178,3270.0,False,91.7,20.900000000000002,-24.1
179,3285.0,False,92.2,20.8,-24.3
180,3301.0,False,92.5,20.700000000000003,-24.400000000000002
181,3318.0,False,93.10000000000001,20.400000000000002,-24.6
182,3334.0,False,93.80000000000001,20.400000000000002,-24.400000000000002
183,3351.0,False,94.60000000000001,20.400000000000002,-23.6
