,ms,steps,floorsUp,floorsDown,distance,startDate,endDate
0,145.0,1,,,,-150.0,-150.0
1,18167.0,1,,,,-150.0,17850.0
2,18168.0,3,,,,-150.0,17850.0
3,20126.0,5,,,,-150.0,19850.0
4,20144.0,7,,,,-150.0,19850.0
5,22101.0,9,,,,-150.0,21850.0
6,24071.0,11,,,,-150.0,23850.0
7,24084.0,13,,,,-150.0,23850.0
8,24085.0,15,,,,-150.0,23850.0
9,26046.0,17,,,,-150.0,25850.0
10,26052.0,19,,,,-150.0,25850.0
11,28038.0,21,,,,-150.0,27850.0
12,28039.0,23,,,,-150.0,27850.0
13,30002.0,25,,,,-150.0,29850.0
14,31985.0,27,,,,-150.0,31850.0
15,32004.0,29,,,,-150.0,31850.0
16,32005.0,31,,,,-150.0,31850.0
17,33960.0,32,,,,-150.0,33850.0
18,33977.0,33,,,,-150.0,33850.0
19,33978.0,34,,,,-150.0,33850.0
20,33978.0,35,,,,-150.0,33850.0
21,35936.0,37,,,,-150.0,35850.0
22,35949.0,39,,,,-150.0,35850.0
23,37910.0,41,,,,-150.0,37850.0
24,39886.0,43,,,,-150.0,39850.0
25,39896.0,45,,,,-150.0,39850.0
26,41872.0,47,,,,-150.0,41850.0
27,41872.0,49,,,,-150.0,41850.0
28,41873.0,51,,,,-150.0,41850.0
29,43834.0,53,,,,-150.0,42850.0
30,45805.0,55,,,,-150.0,44850.0
31,45811.0,57,,,,-150.0,44850.0
32,47802.0,58,,,,-150.0,46850.0
33,47818.0,59,,,,-150.0,46850.0
34,47819.0,60,,,,-150.0,46850.0
35,47819.0,61,,,,-150.0,46850.0
36,49781.0,63,,,,-150.0,48850.0
37,49783.0,65,,,,-150.0,48850.0
38,51745.0,67,,,,-150.0,50850.0
39,53717.0,69,,,,-150.0,52850.0
40,53730.0,71,,,,-150.0,52850.0
41,55696.0,72,,,,-150.0,54850.0
42,55717.0,73,,,,-150.0,54850.0
43,55718.0,74,,,,-150.0,54850.0
44,57672.0,75,,,,-150.0,56850.0
45,57697.0,76,,,,-150.0,56850.0
46,57698.0,77,,,,-150.0,56850.0
47,57699.0,78,,,,-150.0,56850.0
48,59644.0,80,,,,-150.0,58850.0
49,59644.0,82,,,,-150.0,58850.0
50,61629.0,83,,,,-150.0,60850.0
51,61630.0,84,,,,-150.0,60850.0
52,61648.0,85,,,,-150.0,60850.0
53,61649.0,86,,,,-150.0,60850.0
54,63607.0,87,,,,-150.0,62850.0
55,63622.0,88,,,,-150.0,62850.0
56,63623.0,89,,,,-150.0,62850.0
57,63623.0,90,,,,-150.0,62850.0
58,65574.0,92,,,,-150.0,64850.0
59,67550.0,94,,,,-150.0,66850.0
60,67560.0,96,,,,-150.0,66850.0
61,75469.0,105,,,,-150.0,74850.0
62,75470.0,107,,,,-150.0,74850.0
63,77441.0,108,,,,-150.0,76850.0
64,77441.0,109,,,,-150.0,76850.0
65,79404.0,111,,,,-150.0,78850.0
66,79413.0,113,,,,-150.0,78850.0
67,81399.0,117,,,,-150.0,80850.0
68,81400.0,115,,,,-150.0,80850.0
69,83356.0,118,,,,-150.0,82850.0
70,83365.0,119,,,,-150.0,82850.0
71,85333.0,121,,,,-150.0,84850.0
72,87320.0,123,,,,-150.0,86850.0
73,87321.0,125,,,,-150.0,86850.0
74,87322.0,127,,,,-150.0,86850.0
75,89299.0,128,,,,-150.0,88850.0
76,89303.0,129,,,,-150.0,88850.0
