,Unnamed: 0,ms,distance
0,0,29.0,0.0
1,1,1122.0,1.0
2,2,1886.0,2.0
3,3,2698.0,3.0
4,4,3506.0,4.0
5,5,4181.0,5.0
6,6,4857.0,6.0
7,7,5716.0,7.0
8,8,6484.0,8.0
9,9,7245.0,9.0
10,10,8145.0,10.0
11,11,8819.0,11.0
12,12,9588.0,12.0
13,13,10308.0,13.0
14,14,11029.0,14.0
15,15,11831.0,15.0
16,16,12465.0,16.0
17,17,12964.0,17.0
18,18,13640.0,18.0
19,19,14671.0,19.0
20,20,15119.0,20.0
21,21,15844.0,21.0
22,22,16606.0,22.0
23,23,17374.0,23.0
24,24,18095.0,24.0
25,25,18902.0,25.0
26,26,19663.0,26.0
27,27,20431.0,27.0
28,28,21422.0,28.0
29,29,22186.0,29.0
30,30,22901.0,30.0
31,31,23625.0,31.0
32,32,24349.0,32.0
33,33,25064.0,33.0
34,34,25826.0,34.0
35,35,26594.0,35.0
36,36,27179.0,36.0
37,37,27784.0,37.0
38,38,28391.0,38.0
39,39,28890.0,39.0
40,40,29428.0,40.0
41,41,30011.0,41.0
42,42,30726.0,42.0
43,43,31316.0,43.0
44,44,31855.0,44.0
45,45,32444.0,45.0
46,46,33029.0,46.0
47,47,33701.0,47.0
48,48,34425.0,48.0
49,49,35009.0,49.0
50,50,35684.0,50.0
51,51,36360.0,51.0
52,52,37096.0,52.0
53,53,37844.0,53.0
54,54,38433.0,54.0
55,55,39016.0,55.0
56,56,39646.0,56.0
57,57,40230.0,57.0
58,58,40816.0,58.0
59,59,41536.0,59.0
60,60,42164.0,60.0
61,61,42751.0,61.0
62,62,43376.0,62.0
63,63,44006.0,63.0
64,64,44681.0,64.0
65,65,45311.0,65.0
66,66,45985.0,66.0
67,67,46526.0,67.0
68,68,47205.0,68.0
69,69,47833.0,69.0
70,70,48510.0,70.0
71,71,49049.0,71.0
72,72,49680.0,72.0
73,73,50307.0,73.0
74,74,50940.0,74.0
75,75,51524.0,75.0
76,76,52108.0,76.0
77,77,52785.0,77.0
78,78,53461.0,78.0
79,79,54089.0,79.0
80,80,54673.0,80.0
81,81,55305.0,81.0
82,82,55980.0,82.0
83,83,56610.0,83.0
84,84,57330.0,84.0
85,85,57869.0,85.0
86,86,58413.0,86.0
87,87,58999.0,87.0
88,88,59715.0,88.0
89,89,60344.0,89.0
90,90,60916.0,90.0
91,91,61560.0,91.0
92,92,62144.0,92.0
93,93,62731.0,93.0
94,94,63318.0,94.0
95,95,63948.0,95.0
96,96,64661.0,96.0
97,97,65253.0,97.0
98,98,65879.0,98.0
99,99,66509.0,99.0
100,100,67095.0,100.0
101,101,67682.0,101.0
102,102,68266.0,102.0
103,103,68895.0,103.0
104,104,69525.0,104.0
105,105,70108.0,105.0
106,106,70695.0,106.0
107,107,71283.0,107.0
108,108,71955.0,108.0
109,109,72649.0,109.0
110,110,73215.0,110.0
111,111,73820.0,111.0
112,112,74427.0,112.0
113,113,75064.0,113.0
114,114,75645.0,114.0
115,115,76229.0,115.0
116,116,76769.0,116.0
117,117,77354.0,117.0
118,118,77939.0,118.0
119,119,78480.0,119.0
120,120,79065.0,120.0
121,121,79649.0,121.0
122,122,80193.0,122.0
123,123,80777.0,123.0
124,124,81365.0,124.0
125,125,81988.0,125.0
126,126,82620.0,126.0
127,127,83251.0,127.0
128,128,83834.0,128.0
129,129,84420.0,129.0
130,130,85049.0,130.0
131,131,85589.0,131.0
132,132,86221.0,132.0
133,133,86804.0,133.0
134,134,87435.0,134.0
135,135,87974.0,135.0
136,136,88669.0,136.0
137,137,89235.0,137.0
138,138,89819.0,138.0
139,139,90408.0,139.0
140,140,91080.0,140.0
141,141,91579.0,141.0
142,142,92250.0,142.0
143,143,92835.0,143.0
144,144,93418.0,144.0
145,145,94002.0,145.0
146,146,94587.0,146.0
147,147,95128.0,147.0
148,148,95670.0,148.0
149,149,96301.0,149.0
150,150,96973.0,150.0
151,151,97649.0,151.0
152,152,98279.0,152.0
153,153,98819.0,153.0
154,154,99451.0,154.0
155,155,99993.0,155.0
156,156,100580.0,156.0
157,157,101160.0,157.0
158,158,101789.0,158.0
159,159,102376.0,159.0
160,160,102956.0,160.0
161,161,103541.0,161.0
162,162,104128.0,162.0
163,163,104667.0,163.0
164,164,105295.0,164.0
165,165,105883.0,165.0
166,166,106375.0,166.0
167,167,107096.0,167.0
168,168,107590.0,168.0
169,169,108180.0,169.0
170,170,108810.0,170.0
171,171,109396.0,171.0
172,172,109977.0,172.0
173,173,110605.0,173.0
174,174,111235.0,174.0
175,175,111820.0,175.0
176,176,112406.0,176.0
177,177,112990.0,177.0
178,178,113620.0,178.0
179,179,114255.0,179.0
180,180,114839.0,180.0
181,181,115469.0,181.0
182,182,116165.0,182.0
183,183,116730.0,183.0
184,184,117361.0,184.0
185,185,117991.0,185.0
186,186,118533.0,186.0
187,187,119208.0,187.0
188,188,119833.0,188.0
189,189,120464.0,189.0
190,190,121184.0,190.0
191,191,121814.0,191.0
192,192,122399.0,192.0
193,193,123075.0,193.0
194,194,123624.0,194.0
195,195,124290.0,195.0
196,196,124917.0,196.0
197,197,125729.0,197.0
198,198,126585.0,198.0
199,199,127350.0,199.0
200,200,128022.0,200.0
201,201,128742.0,201.0
202,202,129644.0,202.0
203,203,130409.0,203.0
204,204,131445.0,204.0
205,205,133560.0,205.0
206,206,134775.0,206.0
207,207,135855.0,207.0
208,208,136393.0,208.0
209,209,137338.0,209.0
210,210,137832.0,210.0
211,211,138416.0,211.0
212,212,139453.0,212.0
213,213,140125.0,213.0
214,214,141296.0,214.0
215,215,146339.0,214.0
216,216,146342.0,215.0
217,217,147059.0,216.0
218,218,147688.0,217.0
219,219,148319.0,218.0
220,220,148949.0,219.0
221,221,149623.0,220.0
222,222,150299.0,221.0
223,223,150929.0,222.0
224,224,151514.0,223.0
225,225,152233.0,224.0
226,226,152910.0,225.0
227,227,153539.0,226.0
228,228,154214.0,227.0
229,229,154754.0,228.0
230,230,155341.0,229.0
231,231,156015.0,230.0
232,232,156555.0,231.0
233,233,157094.0,232.0
234,234,157678.0,233.0
235,235,158309.0,234.0
236,236,158899.0,235.0
237,237,159568.0,236.0
238,238,160114.0,237.0
239,239,160692.0,238.0
240,240,161325.0,239.0
241,241,161864.0,240.0
242,242,162453.0,241.0
243,243,163038.0,242.0
244,244,163710.0,243.0
245,245,164204.0,244.0
246,246,164808.0,245.0
247,247,165376.0,246.0
248,248,166049.0,247.0
249,249,166680.0,248.0
250,250,167354.0,249.0
251,251,167983.0,250.0
252,252,168660.0,251.0
253,253,169290.0,252.0
254,254,169919.0,253.0
255,255,170550.0,254.0
256,256,171179.0,255.0
257,257,171810.0,256.0
258,258,172484.0,257.0
259,259,173071.0,258.0
260,260,173699.0,259.0
261,261,174420.0,260.0
262,262,175005.0,261.0
263,263,175680.0,262.0
264,264,176306.0,263.0
265,265,176890.0,264.0
266,266,177565.0,265.0
267,267,178240.0,266.0
268,268,178915.0,267.0
269,269,179545.0,268.0
270,270,180180.0,269.0
271,271,180810.0,270.0
272,272,181461.0,271.0
273,273,182069.0,272.0
274,274,182655.0,273.0
275,275,183329.0,274.0
276,276,183918.0,275.0
277,277,184549.0,276.0
278,278,185265.0,277.0
279,279,185894.0,278.0
280,280,186483.0,279.0
281,281,187155.0,280.0
282,282,187828.0,281.0
283,283,188459.0,282.0
284,284,189089.0,283.0
285,285,189806.0,284.0
286,286,190439.0,285.0
287,287,191070.0,286.0
288,288,191654.0,287.0
289,289,192243.0,288.0
290,290,192934.0,289.0
291,291,193413.0,290.0
292,292,194083.0,291.0
293,293,194760.0,292.0
294,294,195344.0,293.0
295,295,195974.0,294.0
296,296,196560.0,295.0
297,297,197143.0,296.0
298,298,197775.0,297.0
299,299,198360.0,298.0
300,300,198989.0,299.0
301,301,199575.0,300.0
