,ms,accelX,accelY,accelZ,accelWithGX,accelWithGY,accelWithGZ,rotRateAlpha,rotRateBeta,rotRateGamma,interval
0,103.0,4.800000000000001,1.0,18.3,1.2000000000000002,3.2,9.600000000000001,0.6000000000000001,-20.400000000000002,-2.0,16
1,120.0,4.1000000000000005,0.8,18.900000000000002,0.8,3.2,10.0,12.200000000000001,-10.700000000000001,-8.5,16
2,137.0,3.4000000000000004,1.4000000000000001,20.1,0.1,3.8000000000000003,11.200000000000001,32.0,-6.500000000000001,-16.900000000000002,16
3,153.0,2.9000000000000004,2.2,20.0,-0.5,4.5,11.0,39.9,-17.1,-16.6,16
4,170.0,2.9000000000000004,2.3000000000000003,20.0,-0.5,4.6000000000000005,10.3,36.1,-28.200000000000003,-11.000000000000002,16
5,187.0,3.4000000000000004,2.1,17.5,-0.2,4.2,8.5,12.0,-62.6,0.1,16
6,203.0,3.9000000000000004,1.6,16.7,0.7000000000000001,3.1,7.4,-13.000000000000002,-103.8,14.700000000000001,16
7,221.0,5.2,0.4,16.0,1.3,2.5,7.300000000000001,-24.900000000000002,-118.00000000000001,18.1,16
8,237.0,7.300000000000001,1.0,17.2,3.0,3.2,8.700000000000001,-31.9,-90.30000000000001,5.500000000000001,16
9,253.0,7.9,2.1,18.0,3.4000000000000004,4.4,9.600000000000001,-4.9,-35.1,-21.8,16
10,270.0,7.6000000000000005,2.7,18.1,3.1,4.9,9.700000000000001,14.300000000000002,-29.500000000000004,-34.1,16
11,287.0,5.5,1.4000000000000001,17.2,0.9,3.5,8.9,46.1,-25.300000000000004,-39.400000000000006,16
12,303.0,6.2,1.4000000000000001,15.9,1.5,3.3000000000000003,7.6000000000000005,47.5,-25.900000000000002,-20.3,16
13,320.0,6.7,1.3,15.3,1.9000000000000001,3.2,7.0,39.1,-35.4,-18.0,16
14,336.0,7.4,1.5,14.200000000000001,2.5,3.2,5.9,15.299999999999999,-55.60000000000001,-20.0,16
15,353.0,7.800000000000001,1.7000000000000002,14.0,2.7,3.3000000000000003,5.800000000000001,-8.3,-60.300000000000004,-18.6,16
