Subject,MAE (m)_GRU,RMSE (m)_GRU,Actual distance (m),Predicted distance (m),Absolute diff (m),Relative error (%),Actual Distance (m),Predicted Distance (m),Absolute Diff (m),Relative Error (%),RMSE (m)_Kalman,MAE (m)_Kalman
13_10,21.13,21.62,404.16,420.15,15.98,3.96,298.7391751965087,301.1482423165571,2.4090671200484053,0.8064115188320167,1.027261879634574,0.814441604391564
13_11,17.53,18.92,433.22,419.18,14.04,3.24,368.5979168693408,371.2164936861429,2.618576816802204,0.7104155224323819,1.4187990954026874,1.34785512502131
13_12,61.82,69.32,152.47,248.52,96.06,63.0,166.82807845495643,171.71488060350978,4.886802148553329,2.92924440166873,0.3206684664105272,0.2112743929163074
13_2,13.28,14.53,434.5,413.54,20.96,4.82,531.8526234540655,534.5053270013088,2.652703547243391,0.4987666564499888,1.080059976432751,0.96611958039165
13_4,26.0,29.47,330.9,287.62,43.28,13.08,356.62356292355787,358.30087029200126,1.677307368443394,0.4703299340887703,0.9762967233993703,0.9552682691773322
13_5,8.11,9.65,395.28,400.17,4.9,1.24,352.8533921889707,354.06341702950755,1.210024840536846,0.342925664687621,0.9984674570787208,0.9580986317354364
13_6,10.71,11.81,296.73,300.42,3.69,1.24,313.9346907430469,316.0334692202847,2.098778477237829,0.6685398393755927,1.0487892154148306,0.9527173768870456
13_7,5.88,6.31,225.48,235.83,10.35,4.59,236.99415164862063,238.63811048923884,1.643958840618211,0.6936706366727676,1.1363989210297034,1.035736713247705
13_8,15.49,16.69,396.45,413.84,17.39,4.39,308.10675523339387,309.60606208316534,1.4993068497714717,0.4866192721531639,0.9406550075135632,0.9049549912835168
13_9,7.8,8.7,366.34,374.0,7.66,2.09,309.4076542836211,310.8816535467684,1.4739992631472774,0.4763939232725392,0.9899561635174065,0.9270848058290094
14_0,23.64,28.6,447.17,405.95,41.22,9.22,1066.2825580438612,1066.989198529304,0.7066404854429038,0.066271409966535,1.4531098221280467,1.3891313592124608
14_1,16.72,19.15,484.25,501.46,17.21,3.55,1070.602332435697,1069.056087195885,1.546245239811924,0.1444275986485201,2.236922108479612,2.116528505750298
14_10,7.34,8.1,444.96,450.38,5.42,1.22,1066.8983234546142,1079.970307541608,13.07198408699378,1.2252324143379218,2.072430004467202,1.9540653184445047
14_11,46.91,48.69,394.65,438.58,43.93,11.13,1073.3618517402206,1101.110066290249,27.74821455002848,2.5851686926492534,2.444282146164683,2.258448305830998
14_12,11.96,14.27,473.57,450.02,23.55,4.97,1112.373958034098,1230.7046887435265,118.33073070942828,10.637675383785014,1.943316788857829,1.3975070487314858
14_13,6.38,7.19,454.2,440.79,13.41,2.95,1084.4757798694995,1084.6250327973908,0.1492529278912115,0.0137626796892754,1.5800422238420893,1.5517144045061737
14_14,7.41,8.66,464.0,448.42,15.58,3.36,1105.7201880070106,1113.1280808097406,7.407892802729975,0.6699608891180892,2.033150460953185,1.945720316664908
14_2,19.15,21.81,465.46,431.66,33.79,7.26,1215.060557928773,1221.3168632451996,6.256305316426506,0.514896584832873,2.52703083971739,2.2676727729289605
14_3,21.27,25.79,575.4,525.47,49.93,8.68,1123.5062718951622,1177.8795240629895,54.37325216782756,4.839603794655211,2.549819436142036,2.393967275763311
14_4,33.06,39.44,628.19,553.36,74.83,11.91,1059.438171797044,1061.091649628969,1.6534778319248744,0.156071196596608,2.7123705552311037,2.61638341780825
14_5,32.74,38.43,598.22,529.13,69.09,11.55,1070.5157184600405,1074.8994422345777,4.383723774537202,0.4094964416630222,2.7879626325134264,2.7083439597258105
14_6,5.16,6.82,342.73,357.44,14.71,4.29,1104.5185029591826,1107.3502023685794,2.8316994093968333,0.2563741034496258,1.3193179957826335,1.277391827116929
14_7,17.76,19.14,364.28,389.59,25.31,6.95,1094.882809036477,1095.4157577449405,0.5329487084634366,0.0486763244490471,1.325711195478527,1.2787277616821882
14_8,16.0,17.76,371.26,354.09,17.17,4.63,1391.839017608274,1392.832630051746,0.9936124434721024,0.0713884602243382,2.4726110878079344,1.489229590907586
14_9,10.6,11.54,467.89,475.73,7.84,1.68,1146.7448556344395,1153.303270552331,6.558414917891469,0.57191579152653,2.597414127107516,2.1795419687713027
16_0,6.41,7.01,337.07,340.28,3.21,0.95,460.7710742818274,461.66601754233966,0.8949432605122638,0.1942273094957514,1.0353940569725837,0.9903193481167972
16_1,4.4,5.23,367.71,376.44,8.73,2.38,388.9685872770193,392.24760464821344,3.2790173711941293,0.84300313147366,1.0803561443755136,1.0484700815932764
16_2,28.85,32.99,443.76,395.2,48.55,10.94,530.4991335259862,536.8610798122727,6.361946286286525,1.1992378279680809,1.1320468817231488,0.8752212296128453
16_3,9.74,10.73,484.77,476.04,8.73,1.8,560.8233895756777,562.2854366026182,1.4620470269405814,0.2606965141105785,1.096502306301354,1.0300820615004225
16_4,21.96,26.98,511.53,463.52,48.01,9.38,536.3162986953075,538.7772500478164,2.460951352508914,0.4588619362297307,1.4185017070323698,1.374756842921682
18_0,3.19,3.68,319.68,329.39,9.71,3.04,382.3338452536887,383.4045577768104,1.0707125231216992,0.2800464924603399,0.737871784242139,0.6999730084646747
18_1,5.9,6.41,371.31,370.34,0.98,0.26,428.576931548444,429.6841029452783,1.107171396834303,0.2583366754795002,0.9856000744255704,0.9601184631784242
18_2,21.06,27.31,464.67,462.22,2.45,0.53,488.3424037653962,492.6740030447997,4.331599279403463,0.8870004419039554,0.8397726824222708,0.6363806208113547
18_3,20.03,25.47,483.92,441.19,42.73,8.83,519.6754696788915,520.7970217837017,1.121552104810121,0.2158177882637273,1.2329148329592696,1.1955671081342625
18_4,49.5,55.81,515.13,434.15,80.97,15.72,529.2079528687613,531.8934783641776,2.6855254954163,0.5074612883004587,1.2166383493808708,1.1623634451342737
3_1,10.9,13.42,476.61,448.47,28.13,5.9,653.0456535051109,660.5530963675175,7.507442862406606,1.149604598409267,2.238583273202882,1.9642381688660544
3_2,4.54,6.02,440.19,426.18,14.01,3.18,1050.910538608529,1069.1519407194344,18.241402110905483,1.735771166122117,4.150271019236905,3.847671484074036
3_3,11.99,14.75,481.19,456.47,24.72,5.14,787.7430346701918,806.0605898309775,18.317555160785677,2.3253211205421542,4.324815728759979,4.1902128968479655
3_4,11.89,15.97,522.94,488.72,34.23,6.54,614.2610430649737,628.9921267000739,14.731083635100164,2.3981796992361075,4.303696732881282,4.189786346662519
4_0,11.19,12.4,461.19,442.18,19.01,4.12,547.9376666545404,550.7983186778283,2.860652023287912,0.5220761771596685,2.7301217052100286,2.6238542378729064
4_1,26.37,29.1,478.11,436.43,41.68,8.72,536.9236530015033,540.6880257422362,3.764372740732824,0.7011001880228742,2.743745914931633,2.679791943519783
4_2,6.49,6.82,441.4,430.43,10.97,2.48,466.8727076502481,491.02888112553126,24.15617347528314,5.174038464758458,7.425354551133537,7.283068694526731
4_3,14.89,16.79,452.75,426.84,25.91,5.72,462.1635644131666,520.7548262661333,58.59126185296663,12.677602988319304,2.670597320029316,2.619252429017968
4_4,20.09,22.29,465.68,430.56,35.13,7.54,564.1043648894085,567.9361835001636,3.831818610755022,0.6792747670914125,2.4372876550999467,2.350004879960845
4_5,28.36,30.33,366.37,408.28,41.91,11.44,425.2286276199135,433.8847557216189,8.656128101705406,2.035640956291072,2.196433890973569,2.104819527245301
4_6,6.38,7.87,363.18,380.16,16.98,4.67,393.3398188682037,410.35695000348034,17.017131135276657,4.32631793654702,2.062069882571853,1.9311970036438677
4_7,12.88,14.56,324.5,350.84,26.34,8.12,339.8328220308827,357.159140356662,17.32631832577931,5.0984829017500735,2.494308495292624,2.38087856316981
4_8,9.69,12.05,490.45,467.08,23.37,4.76,679.1990197941146,682.2174610487519,3.0184412546373096,0.4444118979371155,1.764963831583957,1.663984902260221
4_9,9.07,10.28,477.77,457.35,20.42,4.27,489.0315666745184,492.9173552507904,3.8857885762719775,0.7945884971589607,3.7221485828698846,3.411555821141578
5_0,4.65,5.92,351.7,364.45,12.75,3.63,400.9964468785878,468.30734661032426,67.31089973173647,16.785909265703946,0.958299785673496,0.93366122401387
5_1,19.61,22.36,315.51,351.89,36.38,11.53,354.08037809718866,381.6957947666352,27.61541666944657,7.799194300980622,0.7882877872179251,0.7702996404915575
5_2,20.84,25.73,263.42,324.02,60.6,23.01,7784.814564910055,8205.15347896971,420.3389140596555,5.39947240303356,16.155634455524993,2.8491056933054617
5_3,7.69,8.58,326.77,329.41,2.64,0.81,329.5009106716342,330.8910131309076,1.3901024592734077,0.4218812192172425,0.8946631636378597,0.8742191881777156
5_4,35.27,45.89,175.32,265.74,90.42,51.57,181.2955816888256,190.46466006147023,9.169078372644634,5.057529966936741,0.7101329689262349,0.6596645647466765
5_5,28.44,30.89,296.28,346.21,49.94,16.85,5480.730204874892,5729.208955241128,248.47875036623643,4.533679657232981,21.805135335827668,3.442330297094114
5_6,26.43,32.98,268.93,331.1,62.17,23.12,1478.4459075768343,1520.7097342873626,42.26382671052829,2.8586657444774897,3.938102995602237,1.742329066392997
5_7,9.9,14.26,310.33,339.6,29.27,9.43,358.1434182119691,387.4168580846801,29.27343987271098,8.17366406420607,0.901575756370928,0.8789990278507374
5_8,32.73,36.36,199.75,261.96,62.21,31.14,331.97729641890726,344.7031752162316,12.725878797324356,3.833358164730078,1.2817599425532211,0.9184945507508446
5_9,26.36,29.52,261.61,309.43,47.82,18.28,268.831997656515,273.2253549809261,4.393357324411113,1.6342389904138117,1.13369470848988,1.075209802910076
6_0,19.94,23.71,493.59,453.19,40.4,8.18,518.5822785013588,522.6131466696595,4.030868168300685,0.7772861386527545,3.3791340706588,3.2891667383797043
6_1,8.32,11.41,496.23,467.81,28.42,5.73,540.0107154338382,546.9140200239137,6.90330459007555,1.2783643718124218,1.7228424669800275,1.6500632926238707
6_2,29.79,34.0,501.07,446.8,54.27,10.83,613.6175296722279,621.7923399901875,8.174810317959668,1.332232200459846,4.427863634615898,4.34582295972509
6_3,38.65,44.3,472.5,403.15,69.35,14.68,564.8380626702918,568.200170674309,3.362108004017159,0.5952339663730655,1.6360688788014497,1.603851068626699
6_4,9.92,12.21,347.25,319.8,27.45,7.9,722.2143223652995,728.3307432037413,6.116420838441854,0.8468983027656075,3.840871138917452,3.673081181747975
6_5,19.15,20.95,346.99,320.64,26.36,7.6,469.895088829775,495.8476094814948,25.952520651719794,5.523045732687238,2.7856811721205537,2.606004119583641
6_6,4.35,5.3,190.82,184.52,6.3,3.3,476.22581171331296,480.2191929374685,3.9933812241555415,0.8385478329678505,1.418525398661241,1.3796635818335514
6_7,12.53,13.98,274.84,252.5,22.35,8.13,566.3096337836622,576.4669289568395,10.157295173177316,1.793593922341349,1.6601099844158511,1.6200248819738658
6_8,12.22,13.66,274.93,252.31,22.62,8.23,595.2278791430058,601.8316872005912,6.603808057585411,1.109458795359755,3.263835746031266,3.109169432436208
6_9,10.92,12.89,249.38,229.07,20.31,8.15,610.2190082091274,626.124663736825,15.905655527697604,2.606548683951614,4.408736615069929,4.213330678241277
7_0,21.91,26.43,591.97,536.78,55.2,9.32,1136.438225124497,1161.6994723885548,25.26124726405783,2.222843855968542,4.3064056807232,4.124760999428369
7_1,28.9,31.08,512.4,520.19,7.79,1.52,669.7148853578935,681.6053676632421,11.890482305348542,1.7754543859353382,4.528877053314598,4.336309979971435
7_2,14.87,19.88,598.13,550.03,48.1,8.04,702.9167096095591,722.6136324370873,19.69692282752817,2.8021702369927994,4.930185504497566,4.559098326699283
7_3,19.91,23.9,504.02,453.88,50.14,9.95,663.8738815555363,673.7859889312374,9.912107375701112,1.4930708453954915,3.936408262926294,3.776585789458605
7_4,13.46,19.15,598.14,551.25,46.9,7.84,641.9975925612606,650.0794263184486,8.081833757187951,1.2588573307487547,4.545222026709882,4.391733474923425
7_5,33.93,37.18,466.4,484.78,18.37,3.94,1861.1215475701888,1876.387213337392,15.265665767203018,0.8202401281707423,5.6851564869363,4.892296807299569
7_6,23.36,29.27,549.24,492.09,57.14,10.4,948.319552064029,959.22236859754,10.9028165335111,1.149698591553974,5.049518212141017,4.778818966543827
7_7,52.16,59.92,628.3,525.47,102.83,16.37,696.5213228202463,705.1685174950198,8.647194674773573,1.241483123554738,5.287722205907713,4.819915827248878
7_8,24.24,31.13,549.04,491.42,57.62,10.5,1340.3501900859242,1376.869323539099,36.519133453174845,2.7245964318350087,5.571510150701453,5.2191503255230165
7_9,9.43,10.52,555.7,539.47,16.23,2.92,970.5641688844566,989.3886054868304,18.824436602373797,1.939535499647607,5.868994433118411,5.4791659095966
8_0,22.03,25.63,546.1,499.39,46.71,8.55,542.6528759113694,546.6731059350701,4.020230023700719,0.7408474555578209,4.449237655284068,4.183799339988189
8_1,22.68,27.64,554.98,503.73,51.26,9.24,568.8532146819163,570.4980497446996,1.644835062783386,0.2891492955178469,1.3779144072867873,1.352834493688779
8_10,4.47,4.98,351.21,344.23,6.97,1.99,9811.0490833663,9996.08760757694,185.0385242106404,1.886021796836748,48.39123722746547,9.543456115514273
8_2,5.01,6.11,505.98,491.87,14.12,2.79,957.5442370715094,959.2101688853862,1.6659318138767958,0.1739796188395193,1.3598823657321537,1.2682169679163464
8_3,24.31,29.97,545.51,489.98,55.53,10.18,606.9031215870215,609.2112006273956,2.308079040374082,0.3803043613185858,1.2150435415477507,1.1655286580857067
8_5,30.09,34.7,479.18,441.83,37.35,7.8,578.2562356306721,592.3716211620883,14.115385531416225,2.4410260818063385,3.178319762328471,2.989143030923424
8_6,3.5,4.14,253.27,253.45,0.18,0.07,554.8197903821356,559.5061732327621,4.686382850626501,0.8446675716810184,1.9214811099110456,1.6494462694633585
8_7,6.15,7.33,417.34,403.87,13.47,3.23,437.14783150805,440.9098562044689,3.762024696418905,0.86058409198574,1.400957440637221,1.355216134761348
8_8,12.91,17.93,549.81,509.94,39.87,7.25,547.8657505808262,564.6962906166918,16.830540035865624,3.072019015246442,1.372300016581978,1.3485361610358195
8_9,28.61,32.63,489.72,442.14,47.58,9.72,1002.2965812763962,1014.9158698049024,12.619288528506331,1.2590373711976577,4.166823863108278,4.052659544811186
Average,18.57,21.39,397.6,390.23,31.17,9.2,715.6469899044389,730.1971464512477,14.57119389701032,1.7293316015116025,2.471182915694766,1.827709222929866
