,ms,abs,alpha,beta,gamma
0,53.0,False,9.600000000000001,32.6,12.600000000000001
1,70.0,False,9.700000000000001,32.5,12.4
2,103.0,False,9.700000000000001,32.7,12.5
3,121.0,False,9.600000000000001,32.7,12.600000000000001
4,135.0,False,9.600000000000001,32.800000000000004,12.700000000000001
5,219.0,False,9.5,33.0,12.9
6,235.0,False,9.5,33.2,13.0
7,252.0,False,9.5,33.0,12.9
8,269.0,False,9.700000000000001,32.6,12.700000000000001
9,302.0,False,9.700000000000001,32.7,12.700000000000001
10,319.0,False,9.700000000000001,32.9,12.700000000000001
11,352.0,False,9.8,32.5,12.600000000000001
12,369.0,False,10.0,32.0,12.200000000000001
13,385.0,False,10.100000000000001,31.8,12.0
14,402.0,False,10.100000000000001,31.900000000000002,12.0
15,419.0,False,10.0,32.1,12.100000000000001
16,435.0,False,9.8,32.4,12.4
17,452.0,False,9.8,32.5,12.3
18,469.0,False,9.700000000000001,32.6,12.3
19,502.0,False,9.700000000000001,32.7,12.200000000000001
20,519.0,False,9.700000000000001,32.800000000000004,12.200000000000001
21,635.0,False,9.5,32.800000000000004,12.200000000000001
22,652.0,False,9.5,32.7,12.200000000000001
23,686.0,False,9.4,32.800000000000004,12.100000000000001
24,719.0,False,9.3,32.9,12.0
25,752.0,False,9.3,33.0,11.9
26,802.0,False,9.1,33.1,11.9
27,852.0,False,9.1,33.2,11.9
28,869.0,False,9.1,33.1,11.9
29,1002.0,False,9.1,33.0,11.9
30,1053.0,False,9.1,33.1,11.8
31,1203.0,False,9.0,33.0,11.700000000000001
32,1242.0,False,8.9,33.1,11.700000000000001
33,1336.0,False,8.700000000000001,33.1,11.600000000000001
34,1358.0,False,8.700000000000001,33.2,11.600000000000001
35,1369.0,False,8.700000000000001,33.1,11.600000000000001
36,1385.0,False,8.6,33.1,11.600000000000001
37,1402.0,False,8.6,33.0,11.600000000000001
38,1436.0,False,8.5,33.1,11.600000000000001
39,1469.0,False,8.4,33.0,11.5
40,1502.0,False,8.3,32.9,11.4
41,1539.0,False,8.1,32.9,11.4
42,1587.0,False,7.9,32.800000000000004,11.4
43,1602.0,False,7.7,32.800000000000004,11.4
44,1619.0,False,7.5,32.9,11.3
45,1653.0,False,7.300000000000001,32.9,11.3
46,1669.0,False,7.2,33.0,11.200000000000001
47,1703.0,False,7.0,33.0,11.200000000000001
48,1721.0,False,6.800000000000001,33.0,11.200000000000001
49,1736.0,False,6.7,33.0,11.200000000000001
50,1770.0,False,6.4,33.0,11.3
51,1803.0,False,6.1000000000000005,32.9,11.4
52,1820.0,False,5.9,32.9,11.5
53,1854.0,False,5.6000000000000005,32.9,11.600000000000001
54,1869.0,False,5.5,32.9,11.600000000000001
55,1903.0,False,5.300000000000001,32.9,11.700000000000001
56,1919.0,False,5.2,32.9,11.700000000000001
57,1952.0,False,5.0,32.9,11.8
58,1969.0,False,4.800000000000001,32.9,11.9
