,ms,steps,floorsUp,floorsDown,distance,startDate,endDate
0,12609.0,1,,,9.360000000102445,-126.0,11874.0
1,15175.0,5,,,12.400000000139698,-126.0,14874.0
2,20316.0,11,,,17.020000000251457,-126.0,16874.0
3,22880.0,15,,,19.429191037779674,-126.0,19874.0
4,25447.0,19,,,21.74142185319215,-126.0,21874.0
5,28012.0,23,,,24.0005690199323,-126.0,24874.0
6,30582.0,29,,,28.84393273689784,-126.0,27874.0
7,33149.0,34,,,32.54763061506674,-126.0,29874.0
8,35714.0,35,,,35.64011219609529,-126.0,32874.0
9,38287.0,39,,,38.980409770971164,-126.0,34874.0
10,40846.0,44,,,42.55195568641648,-126.0,37874.0
11,43417.0,49,,,45.9581014290452,-126.0,39874.0
12,45983.0,53,,,48.59930057451129,-126.0,42874.0
13,48550.0,58,,,52.569462133571506,-126.0,45874.0
14,51114.0,62,,,55.17371387523599,-126.0,47874.0
15,53681.0,67,,,57.97799576213583,-126.0,50874.0
16,56248.0,71,,,60.74343180959113,-126.0,52874.0
17,58813.0,76,,,64.84370924835093,-126.0,55874.0
18,61379.0,81,,,68.51566700614057,-126.0,57874.0
19,63945.0,85,,,71.23299599112943,-126.0,60874.0
20,66513.0,89,,,74.53837875975296,-126.0,63874.0
21,69078.0,93,,,77.66903789620847,-126.0,65874.0
22,71647.0,99,,,81.36034853896126,-126.0,68874.0
23,74218.0,103,,,84.19657393568195,-126.0,70874.0
24,76775.0,108,,,87.8188023797702,-126.0,73874.0
25,79340.0,112,,,90.78224664204754,-126.0,75874.0
26,81907.0,117,,,94.46434976765886,-126.0,78874.0
27,84475.0,121,,,97.52387641067617,-126.0,80874.0
28,87038.0,126,,,101.28786767809652,-126.0,83874.0
29,89607.0,130,,,104.5376937086694,-126.0,86874.0
30,92173.0,135,,,107.7301502500195,-126.0,88874.0
31,94737.0,139,,,110.75502173881978,-126.0,91874.0
32,97304.0,144,,,114.61710377410054,-126.0,93874.0
33,99871.0,148,,,117.7131004172843,-126.0,96874.0
34,102438.0,153,,,121.24419562425464,-126.0,98874.0
35,105003.0,157,,,123.97351130377501,-126.0,101874.0
36,107569.0,162,,,127.55493313074112,-126.0,104874.0
37,110135.0,166,,,130.66028518998064,-126.0,106874.0
38,112701.0,171,,,134.04243845073506,-126.0,109874.0
39,115264.0,175,,,136.96181445242837,-126.0,111874.0
40,117832.0,180,,,140.7546772202477,-126.0,114874.0
41,120394.0,184,,,143.7144768529106,-126.0,116874.0
42,122963.0,189,,,146.92486262181774,-126.0,119874.0
43,125527.0,193,,,149.70204636617564,-126.0,122874.0
44,128095.0,198,,,153.40973423444666,-126.0,124874.0
45,130660.0,203,,,157.16082704789005,-126.0,127874.0
46,133227.0,207,,,160.21448369394056,-126.0,129874.0
47,135792.0,212,,,163.81735156592913,-126.0,132874.0
48,138359.0,216,,,166.71950168628246,-126.0,134874.0
49,140926.0,221,,,170.38128948071972,-126.0,137874.0
50,140926.0,225,,,173.37229955010116,-126.0,139874.0
51,146055.0,230,,,176.92300194711424,-126.0,142874.0
52,148620.0,234,,,179.55058267735876,-126.0,145874.0
53,151188.0,239,,,183.43894318514504,-126.0,147874.0
54,153753.0,243,,,186.14277392043732,-126.0,150874.0
55,156317.0,248,,,189.74561610794626,-126.0,152874.0
56,158884.0,253,,,193.26025227690116,-126.0,155874.0
57,161449.0,257,,,195.93302226276137,-126.0,157874.0
58,164017.0,261,,,198.79285981552675,-126.0,160874.0
59,166582.0,266,,,202.4461773398798,-126.0,163874.0
60,169148.0,271,,,205.8018222132232,-126.0,165874.0
61,171713.0,275,,,208.46337865688838,-126.0,168874.0
62,174277.0,280,,,210.26486535929143,-126.0,170874.0
63,176845.0,284,,,213.43974099308252,-126.0,173874.0
64,179409.0,289,,,217.14610068523325,-126.0,175874.0
65,181977.0,293,,,219.74929600581527,-126.0,178874.0
66,184540.0,298,,,223.16277280147187,-126.0,181874.0
67,187108.0,299,,,223.83065207721666,-126.0,183874.0
68,189673.0,306,,,228.4864400161896,-126.0,186874.0
69,192239.0,311,,,231.8405954244081,-126.0,188874.0
70,194810.0,316,,,235.5122333257459,-126.0,191874.0
71,197369.0,320,,,238.38501680083573,-126.0,193874.0
72,199937.0,325,,,241.57328239525668,-126.0,196874.0
73,202501.0,329,,,244.8048311311286,-126.0,199874.0
74,205067.0,334,,,248.5265201407019,-126.0,201874.0
75,207633.0,338,,,251.33723016292788,-126.0,204874.0
76,210198.0,343,,,254.36138780554757,-126.0,206874.0
77,212763.0,347,,,257.7415184066631,-126.0,209874.0
78,215328.0,352,,,261.3683583601378,-126.0,211874.0
79,217896.0,357,,,264.3652844559401,-126.0,214874.0
80,220460.0,361,,,267.14111711550504,-126.0,216874.0
81,223032.0,366,,,270.941086711362,-126.0,219874.0
82,225592.0,370,,,274.2331230563577,-126.0,222874.0
83,228158.0,375,,,278.1965922440868,-126.0,224874.0
84,230725.0,377,,,280.7597693246789,-126.0,227874.0
85,233294.0,382,,,284.6217728757765,-126.0,229874.0
86,235855.0,386,,,287.58328458922915,-126.0,232874.0
87,238419.0,391,,,290.67635468626395,-126.0,234874.0
88,240986.0,395,,,293.78519035107456,-126.0,237874.0
89,243552.0,399,,,296.4627010396216,-126.0,240874.0
90,246115.0,403,,,298.94626766908914,-126.0,242874.0
91,248678.0,407,,,303.03625962743536,-126.0,245874.0
92,251248.0,412,,,306.469555841526,-126.0,247874.0
93,253813.0,417,,,310.3894421446603,-126.0,250874.0
94,256380.0,422,,,313.1158244665712,-126.0,252874.0
95,258940.0,426,,,316.0681059914641,-126.0,255874.0
96,261511.0,430,,,318.8123476249166,-126.0,258874.0
97,264076.0,435,,,322.53633625619113,-126.0,260874.0
98,266641.0,440,,,326.2859019364696,-126.0,263874.0
99,269209.0,444,,,328.6942305364646,-126.0,265874.0
100,271775.0,449,,,332.35714217927307,-126.0,268874.0
101,274337.0,453,,,335.0680808525067,-126.0,270874.0
102,276904.0,458,,,338.3144868724048,-126.0,273874.0
103,279470.0,462,,,341.23643771605566,-126.0,275874.0
104,282034.0,467,,,344.9228870177176,-126.0,278874.0
105,284601.0,471,,,347.5118229605723,-126.0,281874.0
106,287167.0,476,,,351.2611348654609,-126.0,283874.0
107,289733.0,480,,,354.1357039595023,-126.0,286874.0
108,292296.0,485,,,357.635402970016,-126.0,288874.0
109,294863.0,489,,,360.58068841602653,-126.0,291874.0
110,297429.0,494,,,364.27203591680154,-126.0,293874.0
111,299994.0,499,,,367.4840311780572,-126.0,296874.0
112,302560.0,503,,,370.5796025923919,-126.0,299874.0
113,305127.0,508,,,373.9257961246185,-126.0,301874.0
114,307692.0,513,,,377.38054396770895,-126.0,304874.0
115,310258.0,517,,,380.50002610031515,-126.0,306874.0
116,312822.0,522,,,383.9163369075395,-126.0,309874.0
117,315386.0,526,,,386.99210243392736,-126.0,311874.0
118,317953.0,531,,,390.6729324578773,-126.0,314874.0
119,320518.0,535,,,393.5279357379768,-126.0,317874.0
120,323083.0,540,,,397.04499632911757,-126.0,319874.0
121,325650.0,544,,,400.0069695871789,-126.0,322874.0
122,328216.0,549,,,403.60392690612935,-126.0,324874.0
123,330779.0,554,,,406.8198225314263,-126.0,327874.0
124,333347.0,558,,,409.801309438888,-126.0,329874.0
125,335912.0,563,,,413.21200235793367,-126.0,332874.0
126,338475.0,567,,,416.13045950746164,-126.0,334874.0
127,341037.0,572,,,419.6171213109046,-126.0,337874.0
128,343607.0,572,,,419.6171213109046,-126.0,340874.0
129,346173.0,577,,,425.93165994016454,-126.0,342874.0
130,348739.0,579,,,427.1667422170285,-126.0,345874.0
131,351302.0,583,,,432.29017082299106,-126.0,347874.0
132,353871.0,587,,,435.7894255670253,-126.0,350874.0
133,356433.0,592,,,439.24875191412866,-126.0,352874.0
134,359001.0,596,,,442.26117604249157,-126.0,355874.0
