,ms,accelX,accelY,accelZ,accelWithGX,accelWithGY,accelWithGZ,rotRateAlpha,rotRateBeta,rotRateGamma,interval
0,288.0,-0.30000000000000004,-0.30000000000000004,0.6000000000000001,-0.7000000000000001,2.1,10.600000000000001,-2.7,-6.300000000000001,1.8000000000000003,16
1,304.0,-0.4,-0.4,0.30000000000000004,-1.0,1.8,10.3,1.2000000000000002,-4.2,3.3000000000000007,16
2,321.0,-0.4,-0.4,0.1,-1.0,1.8,10.3,7.300000000000001,-5.1000000000000005,5.6,16
3,345.0,-0.2,-0.30000000000000004,-1.0,-0.8,2.0,9.0,11.000000000000002,-8.0,8.8,16
4,354.0,-0.1,-0.2,-1.0,-0.8,2.0,9.0,11.000000000000002,-8.0,8.8,16
5,370.0,-0.1,-0.2,-0.8,-0.6000000000000001,2.0,9.1,9.4,-11.6,9.700000000000001,16
6,387.0,0.0,-0.2,-0.6000000000000001,-0.6000000000000001,2.0,9.1,8.5,-15.100000000000001,10.5,16
7,408.0,0.5,0.0,-0.2,0.1,2.3000000000000003,9.5,6.600000000000001,-14.600000000000001,7.9,16
8,421.0,0.6000000000000001,0.1,-0.2,0.4,2.4000000000000004,9.700000000000001,6.600000000000001,-14.600000000000001,7.9,16
9,437.0,0.8,0.0,0.1,0.5,2.3000000000000003,9.9,2.6,-12.5,3.9,16
10,454.0,0.7000000000000001,-0.1,0.30000000000000004,0.5,2.3000000000000003,9.9,-0.5,-10.1,-0.7,16
11,470.0,0.4,-0.2,0.4,0.4,2.1,10.200000000000001,-1.0,-8.3,-4.800000000000001,16
12,487.0,0.0,-0.5,0.2,-0.2,1.6,9.9,0.5,-6.300000000000001,-7.300000000000001,16
13,510.0,-0.2,-0.7000000000000001,-0.1,-0.30000000000000004,1.5,9.700000000000001,4.0,-8.5,-6.500000000000001,16
14,521.0,-0.2,-0.7000000000000001,-0.1,-0.30000000000000004,1.5,9.700000000000001,4.0,-8.5,-6.500000000000001,16
15,537.0,-0.1,-0.7000000000000001,0.30000000000000004,-0.2,1.4000000000000001,10.200000000000001,4.2,-8.600000000000001,-5.300000000000001,16
16,554.0,-0.1,-0.8,0.4,-0.2,1.3,10.100000000000001,5.1000000000000005,-4.300000000000001,-4.1,16
17,570.0,-0.1,-0.9,0.2,-0.2,1.3,10.100000000000001,8.700000000000001,-0.4,-2.1,16
