,ms,abs,alpha,beta,gamma
0,52.0,False,7.300000000000001,-34.6,-4.5
1,81.0,False,7.300000000000001,-34.800000000000004,-4.5
2,86.0,False,7.4,-34.7,-4.5
3,104.0,False,7.6000000000000005,-34.6,-4.2
4,119.0,False,7.7,-34.5,-4.1000000000000005
5,145.0,False,7.800000000000001,-34.4,-4.0
6,175.0,False,8.200000000000001,-34.1,-3.4000000000000004
7,193.0,False,8.3,-34.0,-3.2
8,213.0,False,8.3,-34.1,-3.1
9,219.0,False,8.3,-34.1,-3.2
10,264.0,False,8.3,-34.300000000000004,-3.2
11,305.0,False,8.1,-34.300000000000004,-3.6
12,318.0,False,8.0,-34.300000000000004,-3.7
13,357.0,False,8.0,-34.300000000000004,-3.6
14,385.0,False,8.0,-34.1,-3.5
15,402.0,False,8.1,-34.0,-3.5
16,418.0,False,8.0,-33.9,-3.4000000000000004
17,470.0,False,8.0,-33.800000000000004,-3.3000000000000003
18,485.0,False,8.1,-33.7,-3.3000000000000003
19,503.0,False,8.1,-33.800000000000004,-3.3000000000000003
20,541.0,False,8.200000000000001,-33.9,-3.3000000000000003
21,570.0,False,8.3,-34.1,-3.3000000000000003
22,585.0,False,8.3,-34.2,-3.4000000000000004
23,605.0,False,8.3,-34.300000000000004,-3.4000000000000004
24,653.0,False,8.3,-34.5,-3.6
25,668.0,False,8.200000000000001,-34.6,-3.7
26,686.0,False,8.1,-34.6,-3.7
27,701.0,False,7.9,-34.6,-3.8000000000000003
28,719.0,False,7.800000000000001,-34.5,-3.8000000000000003
29,736.0,False,7.5,-34.4,-3.9000000000000004
30,751.0,False,7.300000000000001,-34.2,-4.0
31,769.0,False,6.9,-33.9,-4.0
32,786.0,False,6.5,-33.6,-4.1000000000000005
33,803.0,False,6.0,-34.1,-4.4
34,819.0,False,6.1000000000000005,-34.1,-3.8000000000000003
35,837.0,False,6.7,-33.6,-2.0
36,869.0,False,6.2,-32.9,-1.9000000000000001
37,885.0,False,5.7,-32.7,-2.2
38,902.0,False,5.300000000000001,-32.7,-2.4000000000000004
39,919.0,False,5.0,-32.800000000000004,-2.6
40,936.0,False,4.6000000000000005,-32.9,-3.0
41,951.0,False,4.2,-33.1,-3.5
42,969.0,False,3.8000000000000003,-33.2,-3.8000000000000003
43,986.0,False,3.5,-33.1,-4.1000000000000005
44,1019.0,False,3.2,-32.9,-4.3
45,1038.0,False,3.1,-32.7,-4.2
46,1052.0,False,3.0,-29.0,-4.2
47,1068.0,False,2.7,-28.8,-4.2
48,1086.0,False,2.5,-28.700000000000003,-4.2
49,1103.0,False,2.2,-28.5,-4.1000000000000005
50,1119.0,False,2.0,-28.400000000000002,-4.0
51,1135.0,False,1.8,-28.400000000000002,-3.9000000000000004
52,1152.0,False,0.7000000000000001,-30.0,-5.5
53,1168.0,False,0.4,-30.0,-5.7
54,1186.0,False,359.70000000000005,-30.0,-6.0
55,1201.0,False,359.3,-30.1,-6.2
56,1219.0,False,359.3,-30.8,-6.0
57,1235.0,False,359.0,-31.0,-6.2
58,1252.0,False,358.6,-31.1,-6.300000000000001
59,1268.0,False,358.0,-31.1,-6.5
60,1285.0,False,357.20000000000005,-31.1,-6.7
61,1302.0,False,356.40000000000003,-31.1,-7.0
62,1319.0,False,355.5,-31.0,-7.2
63,1335.0,False,354.40000000000003,-30.700000000000003,-7.300000000000001
64,1352.0,False,353.1,-30.400000000000002,-7.300000000000001
65,1368.0,False,351.6,-29.8,-7.6000000000000005
66,1386.0,False,349.90000000000003,-29.1,-8.3
67,1403.0,False,348.3,-28.400000000000002,-9.1
68,1418.0,False,346.8,-27.8,-9.600000000000001
69,1436.0,False,345.90000000000003,-27.5,-9.8
70,1451.0,False,345.20000000000005,-27.3,-9.9
71,1469.0,False,344.6,-27.1,-10.200000000000001
72,1486.0,False,343.90000000000003,-26.6,-10.9
73,1501.0,False,343.1,-26.1,-11.8
74,1519.0,False,340.8,-24.900000000000002,-13.100000000000001
75,1536.0,False,339.5,-24.200000000000003,-13.700000000000001
76,1551.0,False,338.0,-23.400000000000002,-14.4
77,1569.0,False,336.5,-22.5,-14.9
78,1585.0,False,334.8,-21.200000000000003,-15.200000000000001
79,1602.0,False,332.90000000000003,-19.5,-14.9
80,1619.0,False,330.5,-17.5,-14.100000000000001
81,1636.0,False,327.5,-15.5,-13.4
82,1651.0,False,324.40000000000003,-13.700000000000001,-13.100000000000001
83,1669.0,False,321.5,-12.3,-13.700000000000001
84,1685.0,False,318.3,-10.700000000000001,-14.8
85,1702.0,False,314.90000000000003,-8.9,-16.2
86,1719.0,False,311.20000000000005,-6.800000000000001,-17.8
87,1737.0,False,308.0,-4.3,-18.2
88,1751.0,False,305.5,-1.6,-17.5
89,1769.0,False,303.0,0.2,-16.5
90,1786.0,False,300.8,1.5,-15.700000000000001
91,1803.0,False,299.0,2.5,-15.3
92,1820.0,False,296.6,3.4000000000000004,-15.600000000000001
93,1852.0,False,295.2,3.0,-18.5
94,1868.0,False,294.40000000000003,2.3000000000000003,-21.200000000000003
95,1886.0,False,293.7,2.1,-22.5
96,1903.0,False,292.6,1.9000000000000001,-21.5
97,1918.0,False,291.7,2.1,-20.700000000000003
98,1936.0,False,290.90000000000003,2.3000000000000003,-20.400000000000002
99,1951.0,False,290.5,2.3000000000000003,-20.200000000000003
100,1969.0,False,290.1,2.2,-20.200000000000003
101,1986.0,False,289.7,2.1,-20.400000000000002
102,2003.0,False,289.1,2.0,-20.700000000000003
103,2019.0,False,288.5,1.9000000000000001,-21.3
104,2035.0,False,287.90000000000003,1.7000000000000002,-21.900000000000002
105,2052.0,False,287.5,1.4000000000000001,-22.8
106,2071.0,False,287.2,1.2000000000000002,-23.6
107,2085.0,False,287.40000000000003,0.7000000000000001,-22.6
108,2102.0,False,286.5,-0.7000000000000001,-21.900000000000002
109,2120.0,False,286.2,-0.8,-22.200000000000003
110,2136.0,False,285.90000000000003,-0.8,-22.200000000000003
111,2155.0,False,284.40000000000003,-0.2,-22.0
112,2170.0,False,283.1,0.1,-22.6
113,2186.0,False,281.90000000000003,0.30000000000000004,-23.3
114,2203.0,False,280.90000000000003,0.5,-23.700000000000003
115,2219.0,False,280.0,0.6000000000000001,-23.900000000000002
116,2236.0,False,279.0,0.8,-23.8
117,2253.0,False,277.90000000000003,1.1,-23.6
118,2269.0,False,276.8,1.5,-23.400000000000002
119,2286.0,False,275.8,2.0,-23.3
120,2302.0,False,275.1,2.4000000000000004,-23.200000000000003
121,2319.0,False,274.7,2.9000000000000004,-23.0
122,2336.0,False,274.7,3.6,-22.8
123,2355.0,False,275.2,4.6000000000000005,-22.5
124,2369.0,False,275.7,5.0,-22.200000000000003
125,2388.0,False,277.7,6.800000000000001,-21.700000000000003
126,2410.0,False,281.7,10.600000000000001,-22.8
127,2436.0,False,284.6,12.8,-24.700000000000003
128,2463.0,False,288.40000000000003,15.0,-27.400000000000002
129,2486.0,False,303.2,20.8,-39.6
130,2503.0,False,308.40000000000003,22.0,-44.900000000000006
131,2519.0,False,313.0,22.200000000000003,-50.300000000000004
132,2560.0,False,318.0,21.1,-60.6
133,2569.0,False,319.0,20.5,-64.7
134,2586.0,False,319.3,20.3,-68.10000000000001
135,2603.0,False,318.8,20.8,-70.5
136,2619.0,False,317.20000000000005,22.3,-71.3
137,2636.0,False,314.70000000000005,24.1,-70.8
138,2667.0,False,309.20000000000005,25.6,-68.8
139,2686.0,False,306.8,25.900000000000002,-68.4
140,2702.0,False,305.2,25.900000000000002,-68.5
141,2719.0,False,304.0,25.900000000000002,-69.4
142,2736.0,False,303.2,25.700000000000003,-70.8
143,2755.0,False,302.7,25.5,-72.60000000000001
144,2769.0,False,302.40000000000003,25.3,-74.7
145,2789.0,False,302.0,25.1,-78.7
146,2823.0,False,301.0,24.400000000000002,-81.30000000000001
147,2836.0,False,300.7,24.400000000000002,-83.5
148,2865.0,False,300.3,24.5,-86.10000000000001
149,2869.0,False,299.3,24.700000000000003,-88.2
150,2885.0,False,117.80000000000001,154.3,89.5
151,2903.0,False,116.0,152.8,87.10000000000001
152,2918.0,False,114.0,151.3,85.4
153,2938.0,False,112.0,149.9,84.5
154,2952.0,False,110.0,148.5,84.80000000000001
155,2974.0,False,108.2,147.0,85.7
156,2986.0,False,106.9,145.3,86.9
157,3003.0,False,105.4,143.4,88.9
158,3019.0,False,284.3,38.5,-89.4
159,3040.0,False,284.5,39.6,-88.9
160,3067.0,False,286.5,39.0,-87.2
161,3086.0,False,286.90000000000003,38.7,-86.2
162,3102.0,False,286.7,38.800000000000004,-85.4
163,3121.0,False,285.0,39.1,-84.4
164,3163.0,False,283.3,38.7,-86.10000000000001
165,3186.0,False,282.3,39.2,-87.5
166,3202.0,False,282.0,39.1,-87.4
167,3219.0,False,281.7,38.800000000000004,-87.10000000000001
168,3236.0,False,281.90000000000003,38.300000000000004,-87.2
169,3257.0,False,282.2,37.7,-87.2
170,3270.0,False,282.3,37.300000000000004,-87.2
171,3286.0,False,282.2,37.1,-87.0
172,3302.0,False,281.90000000000003,36.9,-86.9
173,3322.0,False,281.40000000000003,36.6,-86.9
174,3336.0,False,280.3,36.6,-86.7
175,3353.0,False,278.90000000000003,36.7,-86.4
