,ms,steps,floorsUp,floorsDown,distance,startDate,endDate
0,265.0,1,,,,-196.0,-196.0
1,17884.0,1,,,,-196.0,17804.0
2,17886.0,2,,,,-196.0,17804.0
3,17886.0,3,,,,-196.0,17804.0
4,17887.0,4,,,,-196.0,17804.0
5,17888.0,5,,,,-196.0,17804.0
6,17889.0,6,,,,-196.0,17804.0
7,17890.0,7,,,,-196.0,17804.0
8,17891.0,8,,,,-196.0,17804.0
9,17892.0,9,,,,-196.0,17804.0
10,17892.0,10,,,,-196.0,17804.0
11,18896.0,11,,,,-196.0,18804.0
12,19906.0,12,,,,-196.0,19804.0
13,20883.0,13,,,,-196.0,20804.0
14,20884.0,14,,,,-196.0,20804.0
15,21891.0,15,,,,-196.0,21804.0
16,22906.0,16,,,,-196.0,22804.0
17,22906.0,17,,,,-196.0,22804.0
18,23878.0,18,,,,-196.0,23804.0
19,24890.0,19,,,,-196.0,24804.0
20,25903.0,20,,,,-196.0,25804.0
21,25904.0,21,,,,-196.0,25804.0
22,26874.0,22,,,,-196.0,26804.0
23,27887.0,23,,,,-196.0,27804.0
24,27888.0,24,,,,-196.0,27804.0
25,28896.0,25,,,,-196.0,28804.0
26,29873.0,26,,,,-196.0,29804.0
27,30888.0,27,,,,-196.0,30804.0
28,30889.0,28,,,,-196.0,30804.0
29,31895.0,29,,,,-196.0,31804.0
30,32910.0,30,,,,-196.0,32804.0
31,32911.0,31,,,,-196.0,32804.0
32,33880.0,32,,,,-196.0,33804.0
33,34894.0,33,,,,-196.0,34804.0
34,34894.0,34,,,,-196.0,34804.0
35,35904.0,35,,,,-196.0,35804.0
36,36879.0,36,,,,-196.0,36804.0
37,37889.0,37,,,,-196.0,37804.0
38,37890.0,38,,,,-196.0,37804.0
39,38903.0,39,,,,-196.0,38804.0
40,38904.0,40,,,,-196.0,38804.0
41,39877.0,41,,,,-196.0,39804.0
42,40887.0,42,,,,-196.0,40804.0
43,41900.0,43,,,,-196.0,41804.0
44,41901.0,44,,,,-196.0,41804.0
45,42872.0,45,,,,-196.0,42804.0
46,42873.0,46,,,,-196.0,42804.0
47,43887.0,47,,,,-196.0,43804.0
48,44895.0,48,,,,-196.0,44804.0
49,45911.0,49,,,,-196.0,45804.0
50,45912.0,50,,,,-196.0,45804.0
51,46880.0,51,,,,-196.0,46804.0
52,47897.0,52,,,,-196.0,47804.0
53,47897.0,53,,,,-196.0,47804.0
54,48908.0,54,,,,-196.0,48804.0
55,49880.0,55,,,,-196.0,49804.0
56,49881.0,56,,,,-196.0,49804.0
57,50891.0,57,,,,-196.0,50804.0
58,51903.0,58,,,,-196.0,51804.0
59,51904.0,59,,,,-196.0,51804.0
60,52876.0,60,,,,-196.0,52804.0
61,53887.0,61,,,,-196.0,53804.0
62,53888.0,62,,,,-196.0,53804.0
63,54904.0,63,,,,-196.0,54804.0
64,55875.0,64,,,,-196.0,55804.0
65,55876.0,65,,,,-196.0,55804.0
66,56887.0,66,,,,-196.0,56804.0
