,ms,abs,alpha,beta,gamma
0,94.0,False,12.8,22.3,2.7
1,111.0,False,12.700000000000001,22.400000000000002,2.9000000000000004
2,128.0,False,12.700000000000001,22.6,3.0
3,160.0,False,12.700000000000001,22.5,2.9000000000000004
4,177.0,False,12.9,22.3,2.6
5,210.0,False,12.8,22.1,2.7
6,227.0,False,12.700000000000001,22.400000000000002,2.9000000000000004
7,244.0,False,12.700000000000001,22.6,3.0
8,263.0,False,12.700000000000001,22.900000000000002,3.0
9,295.0,False,12.9,22.700000000000003,2.6
10,310.0,False,12.9,22.6,2.5
11,327.0,False,12.9,22.5,2.6
12,344.0,False,12.8,22.5,2.7
13,361.0,False,12.8,22.400000000000002,2.8000000000000003
14,394.0,False,12.8,22.400000000000002,2.7
15,410.0,False,12.9,22.6,2.5
16,427.0,False,12.9,22.700000000000003,2.4000000000000004
17,460.0,False,12.8,22.6,2.6
18,510.0,False,12.8,22.5,2.5
19,560.0,False,12.8,22.5,2.6
20,577.0,False,12.700000000000001,22.6,2.5
21,610.0,False,12.700000000000001,22.700000000000003,2.5
22,694.0,False,12.600000000000001,22.6,2.5
23,710.0,False,12.600000000000001,22.5,2.6
24,727.0,False,12.5,22.5,2.6
25,760.0,False,12.5,22.5,2.7
26,810.0,False,12.3,22.400000000000002,2.7
27,827.0,False,12.3,22.3,2.7
28,844.0,False,12.3,22.3,2.6
29,877.0,False,12.100000000000001,22.3,2.5
30,910.0,False,12.0,22.400000000000002,2.4000000000000004
31,944.0,False,11.9,22.5,2.3000000000000003
32,960.0,False,11.9,22.6,2.2
33,994.0,False,11.9,22.5,2.2
34,1077.0,False,11.4,22.3,2.0
35,1110.0,False,11.100000000000001,22.1,2.1
36,1127.0,False,10.9,22.0,2.1
37,1162.0,False,10.5,21.900000000000002,2.2
38,1177.0,False,10.200000000000001,21.900000000000002,2.3000000000000003
39,1194.0,False,10.100000000000001,22.0,2.4000000000000004
40,1210.0,False,9.8,22.0,2.6
41,1227.0,False,9.600000000000001,22.0,2.8000000000000003
42,1244.0,False,9.5,22.0,2.9000000000000004
43,1261.0,False,9.4,22.0,3.1
44,1311.0,False,9.3,21.900000000000002,3.2
45,1327.0,False,9.4,21.8,3.3000000000000003
46,1344.0,False,9.5,21.6,3.6
47,1361.0,False,9.600000000000001,21.200000000000003,4.0
48,1378.0,False,9.9,20.8,4.1000000000000005
49,1396.0,False,10.3,20.3,3.9000000000000004
50,1412.0,False,10.5,20.0,3.9000000000000004
51,1428.0,False,10.9,19.5,3.9000000000000004
52,1445.0,False,11.100000000000001,19.3,4.1000000000000005
53,1461.0,False,11.4,18.900000000000002,4.4
54,1486.0,False,11.700000000000001,18.7,4.9
55,1494.0,False,11.9,18.7,5.1000000000000005
56,1528.0,False,12.4,18.400000000000002,5.2
57,1544.0,False,12.8,18.1,4.9
58,1562.0,False,13.100000000000001,17.8,4.5
59,1587.0,False,13.200000000000001,17.5,4.3
60,1594.0,False,13.200000000000001,17.3,4.4
61,1611.0,False,13.200000000000001,17.0,5.0
62,1628.0,False,13.200000000000001,16.7,5.2
63,1644.0,False,13.200000000000001,16.3,5.6000000000000005
64,1661.0,False,13.200000000000001,15.9,5.5
65,1677.0,False,13.200000000000001,15.600000000000001,5.1000000000000005
66,1697.0,False,13.200000000000001,15.200000000000001,4.9
67,1711.0,False,13.3,15.0,4.9
68,1728.0,False,13.4,14.600000000000001,5.300000000000001
69,1744.0,False,13.5,14.5,5.5
70,1761.0,False,13.600000000000001,14.200000000000001,5.800000000000001
71,1794.0,False,13.600000000000001,14.0,5.800000000000001
72,1812.0,False,13.600000000000001,13.9,6.0
73,1828.0,False,13.700000000000001,13.700000000000001,6.1000000000000005
74,1845.0,False,13.8,13.5,6.1000000000000005
75,1863.0,False,13.9,13.200000000000001,6.2
76,1884.0,False,13.9,12.700000000000001,6.1000000000000005
77,1896.0,False,13.9,12.5,6.0
78,1911.0,False,13.9,12.200000000000001,5.6000000000000005
79,1927.0,False,14.0,12.3,5.4
80,1945.0,False,14.100000000000001,12.5,5.300000000000001
81,1961.0,False,14.200000000000001,13.0,5.2
82,1983.0,False,14.100000000000001,13.5,5.1000000000000005
83,1995.0,False,13.9,13.8,5.0
84,2011.0,False,13.8,13.9,4.800000000000001
85,2027.0,False,13.0,13.5,3.9000000000000004
86,2044.0,False,12.9,13.3,3.7
87,2061.0,False,13.0,12.9,3.3000000000000003
88,2088.0,False,13.5,12.9,3.5
89,2111.0,False,13.700000000000001,13.5,3.7
90,2127.0,False,14.0,14.200000000000001,3.9000000000000004
91,2145.0,False,14.0,14.5,4.1000000000000005
92,2162.0,False,13.3,15.3,5.1000000000000005
93,2184.0,False,12.5,16.400000000000002,6.300000000000001
94,2194.0,False,12.3,17.0,6.800000000000001
95,2214.0,False,12.3,18.1,7.5
96,2229.0,False,12.700000000000001,19.1,8.200000000000001
97,2247.0,False,12.9,19.400000000000002,8.5
98,2264.0,False,13.4,19.6,9.1
99,2280.0,False,14.100000000000001,19.400000000000002,9.0
100,2297.0,False,15.0,18.900000000000002,8.5
101,2311.0,False,15.600000000000001,18.5,8.3
102,2328.0,False,16.1,18.0,8.200000000000001
103,2346.0,False,17.2,16.900000000000002,8.4
104,2361.0,False,17.900000000000002,15.600000000000001,8.4
