,ms,steps,floorsUp,floorsDown,distance,startDate,endDate
0,10172.0,1,,,10.758889751974493,-270.0,9730.0
1,12741.0,7,,,15.561965533997864,-270.0,12730.0
2,17858.0,13,,,20.429082326591015,-270.0,14730.0
3,20424.0,19,,,24.448273411020637,-270.0,17730.0
4,22985.0,25,,,28.46746449545026,-270.0,19730.0
5,25546.0,31,,,32.43377148639411,-270.0,22730.0
6,28113.0,37,,,36.45296257082373,-270.0,24730.0
7,30669.0,43,,,40.577921841759235,-270.0,27730.0
8,33238.0,49,,,44.70288111269474,-270.0,29730.0
9,35801.0,55,,,49.48948766943067,-270.0,32730.0
10,38365.0,61,,,53.10318668046966,-270.0,35730.0
11,40923.0,65,,,56.26272038510069,-270.0,37730.0
12,43488.0,71,,,60.66073172260076,-270.0,40730.0
13,46051.0,77,,,64.04659744584933,-270.0,42730.0
14,48611.0,83,,,68.06665285211056,-270.0,45730.0
15,51177.0,89,,,72.67443948658183,-270.0,47730.0
16,53739.0,95,,,76.4795378013514,-270.0,50730.0
17,56302.0,99,,,78.67430917918682,-270.0,53730.0
18,58865.0,105,,,82.49726395308971,-270.0,55730.0
19,61426.0,105,,,87.27674500504509,-270.0,58730.0
20,63992.0,111,,,91.6535713984631,-270.0,60730.0
21,66553.0,117,,,96.59827710688114,-270.0,63730.0
22,69115.0,122,,,100.71352695021778,-270.0,65730.0
23,71692.0,128,,,104.82879227073863,-270.0,68730.0
24,74242.0,132,,,108.3286893228069,-270.0,70730.0
25,76809.0,138,,,112.324545559939,-270.0,73730.0
26,79365.0,144,,,115.96818445809186,-270.0,76730.0
27,81927.0,150,,,120.1537432456389,-270.0,78730.0
28,84490.0,154,,,123.0290981340222,-270.0,81730.0
29,87049.0,160,,,127.8768788492307,-270.0,83730.0
30,89617.0,166,,,132.98514432879165,-270.0,86730.0
31,92179.0,172,,,137.58811620017514,-270.0,88730.0
32,94745.0,178,,,142.21343645825982,-270.0,91730.0
33,97305.0,184,,,146.93573841638863,-270.0,94730.0
34,99864.0,188,,,150.1875744224526,-270.0,96730.0
35,102428.0,194,,,154.54847417678684,-270.0,99730.0
36,104992.0,200,,,158.2366052386351,-270.0,101730.0
37,107554.0,206,,,161.67457452369854,-270.0,104730.0
38,110118.0,212,,,166.59893373865634,-270.0,106730.0
39,112679.0,216,,,169.62949419301003,-270.0,109730.0
40,115243.0,222,,,173.58524447120726,-270.0,111730.0
41,117809.0,228,,,177.76590168941766,-270.0,114730.0
42,120363.0,234,,,182.43863328685984,-270.0,117730.0
43,122928.0,240,,,186.7385131875053,-270.0,119730.0
44,125496.0,244,,,189.41839579911903,-270.0,122730.0
45,128053.0,250,,,193.18921534344554,-270.0,124730.0
46,130618.0,256,,,197.0453253723681,-270.0,127730.0
47,133180.0,261,,,200.01194718293846,-270.0,129730.0
48,135743.0,267,,,203.58014273643494,-270.0,132730.0
