,ms,latitude,longitude,altitude,confInterval,heading,speed
0,-965.0,55.6091941,12.9940152,88,96,,
1,-4.0,55.6092309,12.993989,82,11,,
2,961.0,55.6092548,12.993972,83,9,,
3,1956.0,55.6092676,12.9939561,82,8,,
4,2970.0,55.6092652,12.9939477,79,7,,
5,3964.0,55.6092527,12.9939416,76,7,,
6,4962.0,55.6092328,12.993938,73,6,,
7,5960.0,55.6092171,12.9939352,71,6,,
8,6966.0,55.609207,12.9939338,70,6,,
9,7961.0,55.6091998,12.9939305,70,5,,
10,8963.0,55.609193,12.99393,69,5,,
11,9953.0,55.6091884,12.9939305,70,5,,
12,10947.0,55.6091855,12.9939312,70,5,,
13,11966.0,55.6091846,12.9939326,70,5,314.0,0.25999999046325684
14,12989.0,55.6091838,12.9939312,70,5,318.0,0.4300000071525574
15,13974.0,55.6091778,12.9939312,69,5,205.0,0.800000011920929
16,14990.0,55.6091667,12.9939372,67,5,172.0,0.4399999976158142
17,15992.0,55.6091587,12.9939465,65,5,150.0,0.5
18,16965.0,55.6091518,12.9939614,63,5,134.0,1.2400000095367432
19,17960.0,55.609146,12.9939761,61,4,139.0,0.550000011920929
20,18963.0,55.6091391,12.9939882,59,4,130.0,0.44999998807907104
21,19957.0,55.609134,12.9940035,59,4,107.0,0.8700000047683716
22,20959.0,55.6091321,12.9940177,58,4,72.0,0.5799999833106995
23,21972.0,55.6091344,12.9940284,57,4,48.0,0.8899999856948853
24,22981.0,55.6091377,12.99404,57,5,51.0,0.9900000095367432
25,23967.0,55.609142,12.9940502,57,5,55.0,0.7300000190734863
26,24964.0,55.6091437,12.9940597,56,5,85.0,0.7699999809265137
27,25950.0,55.6091451,12.9940726,57,5,81.0,1.0199999809265137
28,26960.0,55.609146,12.9940783,57,5,,
29,27962.0,55.6091463,12.9940897,57,6,86.0,1.5299999713897705
30,28972.0,55.6091447,12.9941157,57,6,98.0,1.909999966621399
31,29992.0,55.6091437,12.9941364,57,6,92.0,1.2100000381469727
32,31027.0,55.6091455,12.9941537,57,6,93.0,1.2799999713897705
33,32039.0,55.6091481,12.9941616,58,6,85.0,0.5400000214576721
34,32997.0,55.6091423,12.9941528,58,7,203.0,1.350000023841858
35,33965.0,55.6091363,12.9941384,59,7,237.0,0.7099999785423279
36,34965.0,55.6091325,12.9941332,61,7,201.0,1.1699999570846558
37,35964.0,55.6091344,12.9941331,60,7,,
38,36964.0,55.6091357,12.9941307,61,7,160.0,0.23000000417232513
39,37967.0,55.6091381,12.994136,61,8,111.0,0.6200000047683716
40,38972.0,55.6091385,12.994137,61,9,240.0,0.6100000143051147
41,39968.0,55.6091415,12.9941412,62,9,96.0,0.8799999952316284
42,40951.0,55.6091492,12.9941585,65,8,114.0,0.6299999952316284
43,41962.0,55.6091578,12.9941609,67,8,97.0,0.17000000178813934
44,42970.0,55.6091681,12.9941783,67,7,76.0,0.6200000047683716
45,43949.0,55.6091807,12.9941952,68,6,30.0,0.5
46,44964.0,55.609194,12.9942089,64,6,7.0,0.699999988079071
47,45968.0,55.6092071,12.9942123,64,6,323.0,0.9200000166893005
48,46957.0,55.6092206,12.9942083,65,6,,
49,47963.0,55.6092296,12.9942007,65,6,296.0,0.7900000214576721
50,48970.0,55.6092404,12.9941855,65,6,300.0,1.0399999618530273
51,49952.0,55.6092518,12.9941654,67,6,282.0,1.3300000429153442
52,50943.0,55.6092585,12.9941476,66,6,287.0,1.0199999809265137
53,51959.0,55.6092632,12.9941276,67,6,267.0,1.2400000095367432
54,52964.0,55.6092653,12.9941085,67,6,262.0,1.090000033378601
55,53987.0,55.609268,12.9940882,68,5,254.0,0.9100000262260437
56,54986.0,55.6092709,12.9940611,68,5,267.0,1.5199999809265137
57,55969.0,55.609274,12.9940329,68,5,276.0,1.1799999475479126
58,56975.0,55.6092775,12.9940056,70,6,272.0,1.4500000476837158
59,57960.0,55.6092788,12.9939837,69,5,268.0,1.309999942779541
60,58966.0,55.6092814,12.9939633,70,5,268.0,1.2699999809265137
61,59971.0,55.6092826,12.9939556,69,5,268.0,0.4699999988079071
62,60983.0,55.6092915,12.9939472,65,5,270.0,1.0499999523162842
63,61962.0,55.6092987,12.9939382,62,5,269.0,0.7599999904632568
64,62960.0,55.6093066,12.9939327,62,5,269.0,0.6700000166893005
65,63963.0,55.6093166,12.9939203,64,5,269.0,0.8999999761581421
66,64974.0,55.6093253,12.9938951,63,5,256.0,1.4199999570846558
67,65976.0,55.6093301,12.993866,63,4,257.0,1.2599999904632568
68,66966.0,55.6093348,12.993838,62,5,309.0,1.4900000095367432
69,67978.0,55.6093428,12.9938127,63,4,309.0,1.2300000190734863
70,68969.0,55.6093513,12.9937899,62,5,309.0,1.3200000524520874
71,70000.0,55.6093615,12.9937718,60,4,356.0,1.559999942779541
72,70989.0,55.6093753,12.9937626,59,4,358.0,1.2899999618530273
73,71962.0,55.6093883,12.9937581,58,4,358.0,1.0700000524520874
74,72957.0,55.6093994,12.9937477,60,4,276.0,1.2300000190734863
